"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"CKS1B",7,2,0.00839025932773213,"no",0.00842085954742447,0.149063234447621,-0.301278692530849,0.18078470445151,5,2,0.492117488595609,"no",""
"OR2T1",3,3,0.0208958045658724,"no",-0.0523138367226749,0.0848551073736091,-0.102116564039066,0.0575171552375006,2,3,0.660320144176852,"no",""
"NME1",7,2,0.0221848701757133,"no",-0.0894063103276967,0.193686428883792,-0.143011754839359,0.0593556850486992,5,2,0.62377837195901,"no",""
"OR2W3",5,3,0.0231343407657967,"no",-0.305695160079418,0.129427732891298,-0.434943756215148,0.254472254297329,3,3,0.535412497621767,"no",""
"PROX1",6,3,0.0254714870190149,"no",-0.297990333612534,0.601843179314713,-0.216855644649701,0.0440452181907205,4,3,0.0437912638914764,"no",""
"JMJD4",6,3,0.0422808410347905,"no",0.0224120755022251,0.056231007869097,-0.0416757421514372,0.0360178239434786,4,3,0.396687722811632,"no",""
"PBX1",7,2,0.045472165973024,"no",-0.121909733165558,0.234782762018769,-0.507836975299337,0.269381082648726,5,2,0.0429582906760525,"no",""
"OR2T4",4,3,0.0503501710688526,"no",-0.246322867007622,0.134072148632205,-0.230867789589013,0.0918352374790655,2,3,0.463667162932568,"no",""
"FH",5,3,0.0532873261029694,"no",0.0122886643650145,0.275395233682704,-0.107925840149157,0.203011646699447,3,3,0.521948083660751,"no","NSCLC_LoF"
"ZFP36L2",7,2,0.0588531546227882,"no",0.0756907393648201,0.140035654086643,-0.185316715115436,0.0216588178379965,5,2,0.222254925514095,"no",""
"MUC20",6,3,0.0596774594300377,"no",0.232014315745657,0.155547517223653,0.109970842892113,0.085742601143543,4,3,0.078011043311574,"no",""
"CD1D",7,2,0.0627428008022526,"no",0.231264868491178,0.160396183237946,-0.00939243258664552,0.252613652793569,5,2,0.377318352361479,"no",""
"ITLN1",7,2,0.0633530751042708,"no",-0.204705277161204,0.104338967766726,-0.182927371707366,0.066791515384825,5,2,0.220011655640676,"no",""
"CDC42BPA",6,3,0.0639623575956902,"no",-0.215137826229623,0.1418572989595,-0.483321686850157,0.301454095922712,4,3,0.228041014929176,"no",""
"RGS5",7,2,0.0772137852387013,"no",-0.154468246388338,0.145642047588736,-0.18898346796376,0.016235335483583,5,2,0.430596631371853,"no",""
"SLAMF8",7,2,0.0793609933288105,"no",0.0237912683492617,0.201399610831993,-0.127260632039655,0.106063143522903,5,2,0.333712210191664,"no",""
"HAPLN2",7,2,0.0801114160046146,"no",0.025231334003993,0.233417416332567,-0.0174292756956378,0.0886826397876802,5,2,0.226440437773339,"no",""
"ZBTB41",6,3,0.0806862209005992,"no",0.11384810708831,0.281998622374584,-0.0634981223459864,0.0959053948326712,4,3,0.407930698598274,"no",""
"MTR",5,3,0.0831073451185601,"no",0.0246156548282741,0.164365387972476,-0.0289816785207983,0.152683524677151,3,3,0.91234699792281,"no",""
"LEFTY1",6,3,0.0881182220358122,"no",-0.111202755020037,0.0498579813380885,0.0478366342203592,0.0304092226708218,4,3,0.66898748046156,"no",""
"HIST3H3",6,3,0.0901693949216491,"no",-0.128308383770436,0.171898449130949,-0.121971630819996,0.0407141222822959,4,3,0.57563389302051,"no",""
"PPM1G",6,2,0.0935428724856173,"no",0.0017834190597974,0.270925208614081,-0.220815474261138,0.184498313729467,4,2,0.302598502332356,"no",""
"OR2T27",4,4,0.0939483654101682,"no",-0.0313369298178676,0.292458729265003,0.151748808272179,0.176804429369641,2,4,0.653906039676482,"no",""
"APOA2",7,2,0.0948321150482889,"no",-0.0377947783863228,0.251914760694306,-0.226986448798964,0.11527243411457,5,2,0.594152523857903,"no",""
"UBE2T",6,3,0.0980110333617715,"no",0.0424975042901148,0.198853809473997,0.0763422386471525,0.121043556751188,4,3,0.654092307401167,"no",""
"OR2G2",5,3,0.100179909236858,"no",NA,NA,NA,NA,3,3,0.291474094291372,"no",""
"AVPR1B",6,3,0.102940953011116,"no",-0.0878451948551349,0.330772180515938,-0.0885168137773323,0.311924011799554,4,3,0.94184834152258,"no",""
"CACNA1E",7,2,0.107891891392506,"no",-0.0561192593214918,0.170212579280408,-0.288796592865365,0.117051305626102,5,2,0.534010556739389,"no",""
"OR2T3",5,3,0.10918345506932,"no",NA,NA,NA,NA,3,3,0.672380845780237,"no",""
"TAF5L",6,3,0.116627293398299,"no",-0.159786427516247,0.123203510769366,-0.489296576007008,0.0699309662934635,4,3,0.36576244200159,"no",""
"LY9",6,2,0.117433432690906,"no",0.0671305983183162,0.376439211160005,-0.0662211372785416,0.12110269771177,4,2,0.36060093081465,"no",""
"CD84",7,2,0.118363015411748,"no",-0.181355729569564,0.220513756162673,0.0702424931603415,0.00361861038607936,5,2,0.351810720999843,"no",""
"ATP1A4",7,2,0.119774725478011,"no",0.12459064905016,0.213491724482657,-0.224052584995677,0.024458156119434,5,2,0.328961619767725,"no",""
"CNST",5,3,0.123320835182316,"no",0.0579677274055072,0.330200057440671,-0.0890102127056457,0.123112536893838,3,3,0.479191059830328,"no",""
"XPR1",7,2,0.123946403062139,"no",-0.117290500887959,0.280345962989876,-0.0361147346389469,0.102965671673866,5,2,0.196366753362711,"no",""
"TDRD10",7,2,0.12539762063325,"no",-0.237586508998181,0.160763803709703,-0.210427648781298,0.008847676044136,5,2,0.733731938654838,"no",""
"VSIG8",7,2,0.126989905377364,"no",-0.119937288315959,0.0540023832334092,-0.237017023045859,0.087215620198631,5,2,0.444390743246054,"no",""
"PLXNA2",4,3,0.130005494965584,"no",-0.0361638857972584,0.0464726147453648,-0.0996408410302397,0.313722358005524,2,3,0.489666975379251,"no",""
"GSTT1",3,4,0.132465775289537,"no",-0.0193124681012397,0.0771192348268876,0.106352394925945,0.040945362074795,0,0,NA,NA,""
"F13B",6,3,0.13317085968686,"no",-0.227500851130261,0.0919073704884042,-0.180351918558659,0.324741686798172,4,3,0.493131032812188,"no",""
