"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"BIRC6",6,3,0.04043676287803,"no",0.00353862405655505,0.0924945189942561,-0.141661001283186,0.188251840232866,4,3,0.332872748145319,"no","BLCA_ambiguous,CH_ambiguous,COREAD_ambiguous,DLBCL_ambiguous,ESCA_ambiguous,HC_ambiguous,HNSC_ambiguous,MGCT_ambiguous,NHLY_ambiguous,PAAD_ambiguous,PCPG_ambiguous,UCEC_ambiguous"
"TP53",5,4,0.0405403958765217,"no",0.857365003029134,0.688317640459245,-0.0941027380928641,0.497220993329866,3,4,0.880035150519084,"no","ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF"
"KLHL35",7,2,0.0447729114750687,"no",0.256790034497112,0.310695373502376,0.0233562006823254,0.115468233821756,5,2,0.20232043848566,"no",""
"OR2T4",4,2,0.0609050167689592,"no",-0.246322867007622,0.134072148632205,-0.404722840960131,0.056400752338711,2,2,0.571271466329165,"no",""
"ARID4A",7,2,0.0707359719714903,"no",-0.195265485927769,0.127173199345889,-0.473003830844243,0.021925022994321,6,1,NA,NA,""
"COL8A2",7,2,0.0994832184448951,"no",0.0921314281604291,0.092663334604751,-0.244635478170002,0.135775684493413,6,1,NA,NA,""
"HEATR2",6,2,0.10192351733935,"no",NA,NA,NA,NA,0,0,NA,NA,""
"SEMA3G",6,2,0.171986315217895,"no",-0.341482860903768,0.299760728964702,-0.3580097215824,0.132971540340453,5,1,NA,NA,""
"NRAS",6,2,0.1894770586803,"no",-0.00973332735902912,0.0333341912039239,-0.4329752300007,0.309648262922846,5,1,NA,NA,"ALL_Act,AML_Act,ANGS_Act,CH_Act,CLL_Act,CM_Act,COREAD_Act,GBM_Act,HC_Act,LGG_Act,LUAD_Act,LUSC_Act,MGCT_Act,MM_Act,NSPH_Act,OV_Act,PAAD_Act,PRAD_Act,THCA_Act,THYM_Act,UCEC_Act"
"SI",7,2,0.202247186975844,"no",0.0186785751544184,0.256701725365788,-0.0494881527802795,0.0754927290442815,5,2,0.434078732714029,"no",""
"TFAP2B",7,2,0.236677715385127,"no",-0.0687461722825398,0.160561556970568,0.0938942993801207,0.0831947045062263,6,1,NA,NA,""
"PDE3B",6,2,0.248916600226361,"no",-0.219463556691174,0.0917254908562203,-0.121992233366848,0.000540264432459525,4,2,0.389654960235472,"no",""
"SPEG",7,2,0.301963507816116,"no",0.0157017420356835,0.21263259391276,0.0425424957441213,0.137086046126987,6,1,NA,NA,""
"NCAM1",6,2,0.315176177340432,"no",0.139127529988423,0.1444608754005,-0.0497383267903816,0.0152457101927104,0,0,NA,NA,""
"MYO3B",6,2,0.330856480741113,"no",-0.0391260370468143,0.0690255150869227,-0.0131964608505275,0.0549196224816127,5,1,NA,NA,""
"ATP9A",7,2,0.34191023322611,"no",-0.0302261557421732,0.261655435554984,-0.148158031418359,0.118795715351953,6,1,NA,NA,""
"SEMA6C",5,2,0.354334366451479,"no",-0.110933885920034,0.0633379584867028,0.0813677183290066,0.0384292281731074,4,1,NA,NA,""
"KDM4B",7,2,0.358343148451999,"no",-0.0512222515076876,0.12826050650428,0.042858851305698,0.161141300637275,5,2,0.382107824373969,"no",""
"ASH1L",5,2,0.363075157130816,"no",-0.174091435573755,0.270342737404385,-0.344472819394278,0.03648138534542,3,2,0.203850282834122,"no",""
"ABCA4",7,2,0.364994947746851,"no",0.0189296889380251,0.205746028964722,-0.152079346078566,0.373187631733674,5,2,0.864915851411726,"no",""
"ZFHX2",7,2,0.382741222195253,"no",0.122762411961158,0.0832507875213787,0.151858803931553,0.188339868074453,6,1,NA,NA,""
"ALK",5,2,0.3905635849442,"no",0.0258397258530412,0.0848800781203416,0.128959435277985,0.129397577330876,4,1,NA,NA,"BRCA_Act,HC_Act,NB_Act,NSCLC_Act,PRAD_Act,SCLC_Act"
"SIPA1L1",5,3,0.408537362749174,"no",-0.091026324785703,0.235106535026865,-0.000580389345317977,0.082241938465428,3,3,0.603707565751859,"no",""
"FRY",7,2,0.417104281073762,"no",0.145914417484626,0.247960531085679,0.105938014349171,0.0466977207492486,5,2,0.638023980951517,"no",""
"TET2",6,2,0.448765613596307,"no",-0.0980658197055396,0.159126052022747,-0.0408487878140898,0.0752268790356982,5,1,NA,NA,"AML_LoF,LY_LoF,MDPS_LoF,NHLY_LoF,OS_LoF,S_LoF"
"OBSCN",5,2,0.459631951366464,"no",-0.0693297062589184,0.0970273668350607,-0.0139501310891644,0.0543486930053215,4,1,NA,NA,""
"ATR",6,2,0.476850958326066,"no",-0.654781330889011,0.567018460656803,-1.13598845499766,0.198473877883975,5,2,0.505665726159428,"no","CM_LoF,UCEC_LoF"
"LLGL1",7,2,0.480061614341018,"no",0.0114021403818068,0.191263462618474,-0.114639923954987,0.001168076901956,7,0,NA,NA,""
"GPR37",6,3,0.484437606757629,"no",-0.0314558669327992,0.0723890310123621,-0.01253701799753,0.0933146629066318,5,2,0.508785582860016,"no",""
"SACS",7,2,0.48698611886157,"no",-0.221463984692006,0.136104952772385,-0.215570092269749,0.0875780098937365,7,0,NA,NA,""
"MAP3K13",7,2,0.495623371499433,"no",0.0125576134510015,0.227470157870581,-0.162285576780314,0.204285607176723,5,2,0.616003034439612,"no",""
"RASAL1",6,2,0.507313872680453,"no",0.069599677171872,0.201112320701674,-0.0661833171763108,0.0427665361694922,4,2,0.532430462630413,"no",""
"RGPD8",6,2,0.513972672900094,"no",0.80090132632164,0.231696651716109,0.542427099476117,0.0931715375219609,0,0,NA,NA,""
"MADD",7,2,0.547865416140597,"no",-0.0273052477576716,0.239480769178612,-0.141712739714776,0.0347245447799115,5,2,0.62760938026066,"no",""
"CHD1",7,2,0.562915652147159,"no",-0.133444774808958,0.151240565988299,-0.091428026290069,0.0198759990729239,6,1,NA,NA,""
