"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"MLNR",9,6.19522970076379e-12,"yes",-0.0318898860129152,0.160344740314303,7,0.817329982737747,"no",""
"KCTD20",9,2.47356718664644e-10,"yes",-0.0424143879460073,0.211422186489113,7,0.644921366080086,"no",""
"GCM1",9,2.62804066710986e-09,"yes",-0.200709128616798,0.264057222631017,7,0.36955989255498,"no",""
"ANGPTL4",9,8.19868008193904e-09,"yes",-0.155049633005913,0.126989101706968,7,0.608558287725297,"no",""
"INPP5F",8,2.07811234121602e-08,"yes",-0.0868251289873634,0.0919277914983761,6,0.997912175475821,"no",""
"FIGNL2",9,1.2664626448944e-07,"yes",-0.35064088161754,0.088872489288705,0,NA,NA,""
"ATF1",9,3.067061033252e-07,"yes",0.00135570650860313,0.277970179471101,7,0.0508152111095344,"no",""
"SULT1A1",9,3.53628560611224e-07,"yes",-0.0381100058389796,0.258080576422663,7,0.0508643474968776,"no",""
"SULT1A2",9,3.53628560611224e-07,"yes",0.107766812999845,0.343368589907231,7,0.911955065588122,"no",""
"ABTB2",9,4.62095327149685e-07,"yes",-0.103927330920096,0.112948137912145,7,0.99183999616844,"no",""
"MIB1",9,5.7392669975217e-07,"yes",-0.0448397157919824,0.294989582981134,7,0.305127490653098,"no",""
"RASGRP4",9,7.62966755208261e-07,"yes",-0.195082947954319,0.370001806011383,7,0.617980853131469,"no",""
"STK39",9,1.30078325333978e-06,"yes",-0.280468424081142,0.22723889154053,7,0.00217409039075718,"no",""
"HSD11B1L",9,2.37028635495564e-06,"yes",-0.222552061209036,0.093863066097445,7,0.00195501506393731,"no",""
"HMG20B",9,3.03980701731457e-06,"yes",-0.21304838939966,0.426202562873416,7,0.998844013769577,"no",""
"KIT",9,3.48266847962213e-06,"yes",-0.0943130973146597,0.194618247448377,7,0.0426501176831307,"no","AML_Act,CM_Act,LGG_Act,MGCT_Act,OS_Act,ST_Act"
"SMARCE1",9,3.56976530711202e-06,"yes",-0.523161245142691,0.469864958029364,7,6.00705297214217e-07,"yes",""
"TIAM1",9,6.47734347785222e-06,"yes",-0.0891409492248598,0.106444450486601,7,0.40513042326832,"no",""
"ATP13A1",9,6.53740671916392e-06,"yes",-0.116415560728284,0.169416611028418,7,0.0226416917127828,"no",""
"PLD1",9,7.55344538559124e-06,"yes",-0.415850373122816,0.117235453455231,7,0.281971367373273,"no",""
"ANKRD30B",9,9.26757298419706e-06,"yes",-0.314931449275957,0.233693431375396,7,0.949380974368158,"no",""
