"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"HSPE1-MOB4",9,1.8544055180314e-12,"yes",0.216243088576341,0.490459086400569,0,NA,NA,""
"TP53I3",7,1.07980291375043e-11,"yes",0.195865773772477,0.125448721265231,5,0.999505604568689,"no",""
"COPS8",9,1.6994622376032e-09,"yes",-0.472100166290628,0.440017701364607,7,0.999999962098776,"no",""
"BTF3",9,3.09955971999898e-09,"yes",-0.340762904049227,0.21280392932872,7,0.999956931332897,"no",""
"WDR12",9,3.42407147080337e-09,"yes",-0.578461611549471,0.206130223440159,7,0.999999996901356,"no",""
"SNRPB2",9,1.28527208875795e-08,"yes",-0.162668031472588,0.194463254276722,7,0.702937859066584,"no",""
"DDX19B",9,1.64507918398726e-08,"yes",-0.625571325868504,0.312082221185988,7,0.999982059496653,"no",""
"CDC40",9,1.9623578983996e-08,"yes",-0.711579458749028,0.35266486795478,7,0.999999248790409,"no",""
"MAP1B",8,2.10753215990067e-08,"yes",0.204272439226837,0.263172096091603,6,0.095735817210486,"no",""
"TMEM44",9,2.36180197621394e-08,"yes",0.126559053225156,0.209759260957072,7,0.96529685367258,"no",""
"ATP6V1B2",8,2.94950768253699e-08,"yes",-0.353313896204276,0.416312483392253,6,0.999999999952537,"no",""
"SP3",9,5.1118239863257e-08,"yes",0.269359335826721,0.274752697873033,7,0.879996067823482,"no",""
"RGPD1",8,5.66875991703242e-08,"yes",NA,NA,6,0.111255479111828,"no",""
"RGPD2",8,5.66875991703242e-08,"yes",NA,NA,6,0.997827852712551,"no",""
"RGPD5",8,5.66875991703242e-08,"yes",NA,NA,0,NA,NA,""
"RGPD6",8,5.66875991703242e-08,"yes",NA,NA,0,NA,NA,""
"WWTR1",9,1.37100234165466e-07,"yes",0.160152846512718,0.163901245184574,7,0.99956498039844,"no",""
"CAPZA2",9,2.21137801847959e-07,"yes",0.198341508772634,0.248735921068195,7,0.000354705282683776,"no",""
"MASP1",9,2.8605674573523e-07,"yes",NA,NA,7,0.510774138234198,"no",""
"UBA3",8,2.86990775477669e-07,"yes",-0.15151207713482,0.207970609460646,6,0.999999384454545,"no",""
"NT5E",9,3.77858800804098e-07,"yes",0.0472962319354441,0.201750848247341,7,0.111585877820997,"no",""
"SART3",9,6.15338621168249e-07,"yes",-0.358499546249524,0.25197510007719,7,0.99999984314255,"no",""
"F11R",7,6.63720341242957e-07,"yes",0.0319747885356919,0.18226015438303,5,0.879440609793079,"no",""
"MKI67IP",8,1.29889527766824e-06,"yes",NA,NA,0,NA,NA,""
"WDR70",8,1.42240691791695e-06,"yes",-0.604921454438008,0.186570598098426,6,0.999997412289119,"no",""
"WASL",9,1.49863399045991e-06,"yes",0.0432219147614296,0.303614918078889,7,0.0381420517758925,"no",""
"NNMT",8,1.51403610104683e-06,"yes",0.15068005572118,0.0816086658400532,6,0.0288721101382241,"no",""
"PAK1IP1",9,1.78567116571049e-06,"yes",-0.304874098343998,0.315641482145031,7,0.999999999664669,"no",""
"PRPF4",8,1.88005493251264e-06,"yes",-0.579205144347372,0.568787757167766,6,0.999999336747773,"no",""
"RGPD3",6,1.96682075548349e-06,"yes",-0.430146772375614,0.13063956715929,4,0.000164688396388946,"yes","CM_ambiguous,THCA_ambiguous"
"NUP43",9,2.68656109525534e-06,"yes",-0.157511305812235,0.188453206757947,7,0.999999999976835,"no",""
"ALX1",9,2.75174141395329e-06,"yes",0.0852443577809784,0.227329495529919,7,0.824290194667856,"no",""
"GPR89A",6,3.07286979517318e-06,"yes",NA,NA,0,NA,NA,""
"GPR89B",6,3.07286979517318e-06,"yes",NA,NA,0,NA,NA,""
"GPR89C",6,3.07286979517318e-06,"yes",NA,NA,0,NA,NA,""
"RGPD8",6,3.21123673674428e-06,"yes",0.80090132632164,0.231696651716109,0,NA,NA,""
"RBFOX3",8,3.26494787994402e-06,"yes",-0.0207478172611004,0.152637573702972,6,0.930164985553502,"no",""
"METTL2B",9,3.66651491845449e-06,"yes",0.00538995279783987,0.133527057585187,7,0.998923087743123,"no",""
"UBE2I",9,3.77879989355012e-06,"yes",-0.460517231914575,0.414950600065982,7,0.999999962254334,"no",""
"DARS",8,3.96916408740289e-06,"yes",-0.684899347103594,0.387995027156523,6,0.999999936671353,"no",""
"MED19",9,4.30645731419599e-06,"yes",-0.160785215565019,0.09595847626542,7,0.999999824342356,"no",""
"CASP8AP2",9,4.7995276651891e-06,"yes",-0.188216138898088,0.200271009684763,0,NA,NA,""
