"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"KRAS",264,31,4.46257237195193e-13,"yes",-0.0557062272951041,0.170689168077494,-0.653577532131383,0.857370682436056,203,21,0.0542379789395398,"no","ALL_Act,AML_Act,AN_Act,BC_Act,BCNET_Act,BLCA_Act,BRCA_Act,CESC_Act,CH_Act,CLL_Act,CM_Act,COREAD_Act,DLBCL_Act,ESCA_Act,HC_Act,LUAD_Act,MGCT_Act,MM_Act,NSCLC_Act,OV_Act,PAAD_Act,PAIS_Act,PIA_Act,PRAD_Act,RPC_Act,ST_Act,THCA_Act,UCEC_Act,UCS_Act",0.0272277227722772,8888
"CDK4",338,14,3.86762944676734e-06,"yes",-0.0506825559036983,0.311351968265589,-0.404037899846342,1.37626169555473,257,10,0.196058374901993,"no","CM_Act",0.027002700270027,8888
"BRAF",280,16,2.35175185953945e-05,"yes",0.0867699724910009,0.138800381681482,-0.0616147800612481,0.65763237570286,208,12,0.0109139507193965,"no","BLCA_Act,BRCA_Act,CLL_Act,CM_Act,COREAD_Act,DLBCL_Act,GBM_Act,HGG_Act,LGG_Act,LUAD_Act,LUSC_Act,MM_Act,NSCLC_Act,OV_Act,PIA_Act,PRAD_Act,RPC_Act,THCA_Act,UCEC_Act",0.0136138613861386,8888
"IL6",324,31,0.000130834755745873,"yes",-0.012020371752142,0.153848081684508,-0.16712311699338,0.198420227851379,239,28,0.306864993830617,"no","",0.0122637263726373,8888
"TLK2",326,20,0.000135685862960101,"yes",-0.0194241058278622,0.164132130788805,-0.0782152177656701,0.174440411071366,248,14,0.489925643676025,"no","",0.0199144914491449,8888
"MITF",335,11,0.000175563567528591,"yes",0.078268242494696,0.0895776543049702,-0.554026627748766,0.623543003260129,252,9,4.26421413934183e-06,"yes","",0.00652565256525653,8888
"HAS2",305,48,0.000248695804082041,"no",-0.130021130564991,0.176765886255294,-0.172469586973309,0.198254054416189,223,43,0.210658409963642,"no","",0.064018901890189,8888
"ERBB2",318,20,0.000347713035439489,"no",-0.0381216715040399,0.1376445675059,-0.218903238014276,0.390909760028146,240,15,0.0232651875616797,"no","BLCA_Act,BRCA_Act,CESC_Act,CH_Act,COREAD_Act,ESCA_Act,NSCLC_Act,OV_Act,RPC_Act,ST_Act",0.038028802880288,8888
"TP53",98,2,0.000435186215187292,"no",0.643692652144172,0.672732869624697,-0.150758127457581,0.00421115838527703,71,1,NA,NA,"ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF",0.00168766876687669,8888
"YAP1",332,15,0.000445930883185032,"no",-0.00743217060604916,0.330795352855579,-0.261156503234627,0.715404303298018,244,15,0.0796226275167962,"no","",0.0138388838883888,8888
"NRAS",313,19,0.00056309321490714,"no",-0.00388305007836055,0.101956125154786,-0.0596679367747068,0.565569598542984,227,18,0.0227897604143965,"no","ALL_Act,AML_Act,ANGS_Act,CH_Act,CLL_Act,CM_Act,COREAD_Act,GBM_Act,HC_Act,LGG_Act,LUAD_Act,LUSC_Act,MGCT_Act,MM_Act,NSPH_Act,OV_Act,PAAD_Act,PRAD_Act,THCA_Act,THYM_Act,UCEC_Act",0.00461296129612961,8888
"ITGA4",325,7,0.000630878033734768,"no",-0.0568938258972334,0.244466568014305,-0.127236021993341,0.081606158576329,243,7,0.330849586195265,"no","",0.00573807380738074,8888
"RAB22A",316,40,0.000796585681860548,"no",-0.0273158490589796,0.187624967624863,-0.0305960643327648,0.235301043447694,238,30,0.271400000095451,"no","",0.0238523852385239,8888
"NTSR1",309,39,0.000913598568712646,"no",-0.0202244431415939,0.181047545017434,-0.0591116143591136,0.186002353957971,234,29,0.886844536267355,"no","",0.0257650765076508,8888
"THRA",337,15,0.000916041728720428,"no",0.00761042775302086,0.170274000324201,-0.00609584941320806,0.124445521237509,254,10,0.0126260954232038,"no","",0.0258775877587759,8888
"FOXA1",330,15,0.00105077440905498,"no",0.0264884670031522,0.12314337083227,-0.18503508787385,0.319117715453946,248,14,0.000168296471556403,"yes","BRCA_LoF,PRAD_LoF",0.0133888388838884,8888
"BTNL9",323,21,0.00119518043543243,"no",-0.00182721003520468,0.161107141278919,0.012529563751188,0.10705483777944,239,21,0.615387530133716,"no","",0.0103510351035104,8888
"RUNX1",340,3,0.00128759780477498,"no",0.0638654579327831,0.155691722255512,-1.09562843243554,0.301186999358542,255,3,1.03824486419057e-05,"yes","ACY_ambiguous,ALL_ambiguous,AML_ambiguous,BRCA_ambiguous",0.0045004500450045,8888
"SOX10",347,3,0.00148067318752485,"no",0.10103286528919,0.134242834089939,-0.53428665999188,0.67789159834635,261,3,0.204005950796233,"no","",0.00573807380738074,8888
"NPY1R",332,7,0.00180424564394583,"no",-0.0606481550298604,0.139482361216599,-0.0441585699657012,0.124498667541784,250,4,0.279192677680491,"no","",0.00326282628262826,8888
"LY9",323,21,0.00193737044233441,"no",0.0195814982214846,0.163800086562984,0.0244971675696547,0.133407628741512,243,18,0.907588564562226,"no","",0.0388163816381638,8888
