"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","MissenseDnDs","intogen_gene_role","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"TP53",98,181,7.34732056562536e-56,"yes",0.643692652144172,0.672732869624697,-0.183318261404617,0.16700451364909,71,134,2.02193074658072e-11,"yes",42.4,"ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF",0.277697668829608,8322
"KRAS",264,78,4.12574356776667e-50,"yes",-0.0557062272951041,0.170689168077494,-0.813922575137872,1.06395968823685,203,56,0.000969762958014287,"no",28.6666666666667,"ALL_Act,AML_Act,AN_Act,BC_Act,BCNET_Act,BLCA_Act,BRCA_Act,CESC_Act,CH_Act,CLL_Act,CM_Act,COREAD_Act,DLBCL_Act,ESCA_Act,HC_Act,LUAD_Act,MGCT_Act,MM_Act,NSCLC_Act,OV_Act,PAAD_Act,PAIS_Act,PIA_Act,PRAD_Act,RPC_Act,ST_Act,THCA_Act,UCEC_Act,UCS_Act",0.0851958663782744,8322
"BRAF",280,63,7.9692350079522e-19,"yes",0.0867699724910009,0.138800381681482,-0.518859827026049,1.10847760504736,208,46,4.35580415851785e-08,"yes",7.5,"BLCA_Act,BRCA_Act,CLL_Act,CM_Act,COREAD_Act,DLBCL_Act,GBM_Act,HGG_Act,LGG_Act,LUAD_Act,LUSC_Act,MM_Act,NSCLC_Act,OV_Act,PIA_Act,PRAD_Act,RPC_Act,THCA_Act,UCEC_Act",0.0833934150444605,8322
"NRAS",313,26,9.32492775725122e-13,"yes",-0.00388305007836055,0.101956125154786,-0.971274372701301,1.19741669677841,227,23,1.27825399553931e-09,"yes",10.3333333333333,"ALL_Act,AML_Act,ANGS_Act,CH_Act,CLL_Act,CM_Act,COREAD_Act,GBM_Act,HC_Act,LGG_Act,LUAD_Act,LUSC_Act,MGCT_Act,MM_Act,NSPH_Act,OV_Act,PAAD_Act,PRAD_Act,THCA_Act,THYM_Act,UCEC_Act",0.0304013458303292,8322
"CTNNB1",326,23,9.77429755748247e-13,"yes",0.000313221672141502,0.16325871814773,-1.34187949019886,1.61283764654357,248,16,4.79212593811404e-05,"yes",5.4,"ACC_Act,COREAD_Act,HBC_Act,HC_Act,LUAD_Act,MBL_Act,NSCLC_Act,PIA_Act,PRAD_Act,RHBDS_Act,SBCC_Act,ST_Act,UCEC_Act,WT_Act",0.0400144196106705,8322
"PIK3CA",279,49,2.17021651015097e-11,"yes",-0.0749241229124918,0.164090326032083,-0.370438803578626,0.382275429205958,211,36,0.0107104900890268,"no",13.4,"ACY_Act,AN_Act,ANGS_Act,BLCA_Act,BRCA_Act,CESC_Act,CH_Act,CM_Act,COREAD_Act,EPD_Act,ESCA_Act,GBM_Act,HC_Act,HGG_Act,HNSC_Act,LEIS_Act,LGG_Act,LUAD_Act,LUSC_Act,MBL_Act,MESO_Act,MGCT_Act,NSCLC_Act,OS_Act,OV_Act,PAAD_Act,PIA_Act,PRAD_Act,RCCC_Act,RPC_Act,S_Act,SBCC_Act,ST_Act,UCEC_Act,UCS_Act,VV_Act",0.136745974525354,8322
"DDX27",321,10,1.05483501449547e-05,"yes",-0.743918165780945,0.415252013300622,-1.12623930665445,0.511839607191089,248,4,0.441423472051814,"no",5.5,"",0.0103340543138669,8322
"MDM2",337,8,2.92423607101464e-05,"yes",0.14259238920779,0.336170956360993,-0.258882274148377,0.336605948188896,257,6,0.0453727324153365,"no",9,"LEIS_Act",0.00552751742369623,8322
"RNF40",345,14,7.497539667524e-05,"yes",-0.287364716895488,0.262405369102409,-0.404249817324322,0.167552295982827,259,10,0.459322943515448,"no",1.6,"",0.013578466714732,8322
"MMS22L",327,17,7.55659236956048e-05,"yes",-0.736085168271648,0.365197531186414,-0.951390162753961,0.510332825552081,252,12,0.488626329815203,"no",3,"",0.0174236962268685,8322
"CCNK",330,7,0.000111036002409366,"yes",-0.718535918969831,0.411666957511757,-1.05254053324288,0.353192171136577,246,4,0.49161349082746,"no",3.66666666666667,"",0.00372506608988224,8322
"LRP1B",214,114,0.000158279093975261,"yes",0.0752388409960765,0.135328145634078,0.0655402843671611,0.122969420269532,161,84,0.593406213095013,"no",3.87037037037037,"AML_LoF,AN_LoF,BRCA_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,GBM_LoF,HC_LoF,HNSC_LoF,LUAD_LoF,LUSC_LoF,MBL_LoF,MGCT_LoF,MM_LoF,NB_LoF,NSCLC_LoF,OS_LoF,OV_LoF,PAAD_LoF,PRAD_LoF,RCCC_LoF,RHBDS_LoF,SBCC_LoF,SCLC_LoF,ST_LoF,THCA_LoF,UCS_LoF,UVM_LoF",0.123407834655131,8322
