"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","DeleteriousDnDs","intogen_gene_role","tcga_deleterious_mutation_frequency","tcga_nrSamplesInMutData"
"TP53",98,100,7.49724578274788e-52,"yes",0.643692652144172,0.672732869624697,-0.21045035873896,0.184778790194019,71,78,3.60068011618606e-10,"yes",21.6,"ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF",0.162581110310022,8322
"APC",285,36,9.01894059403031e-06,"yes",0.0115380747988716,0.180432263803978,-0.143234737920937,0.30624034790613,220,24,0.440735254951683,"no",3.75,"AN_LoF,BC_LoF,CH_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,HC_LoF,NSCLC_LoF,PRAD_LoF,SBCC_LoF,SSCC_LoF,ST_LoF,UVM_LoF,VV_LoF",0.078226387887527,8322
"TTK",322,15,2.85693531762228e-05,"yes",-0.623735856612532,0.47106786036246,-0.908102454414032,0.406224755832131,245,10,0.476797396005497,"no",2.71428571428571,"",0.00829127613554434,8322
"PTEN",300,30,5.21535340247616e-05,"yes",0.0555644667857405,0.155178302805215,-0.0198035862869814,0.104110647417539,226,22,0.384042815065698,"no",13.3333333333333,"BLCA_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LGG_LoF,LUSC_LoF,MBL_LoF,NSCLC_LoF,OS_LoF,OV_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,ST_LoF,THCA_LoF,UCEC_LoF,UCS_LoF",0.0633261235279981,8322
"MMS22L",327,11,5.82333118806433e-05,"yes",-0.736085168271648,0.365197531186414,-1.24143895760644,0.404701050289551,252,3,0.491848680943767,"no",2.5,"",0.00360490266762797,8322
"GEMIN5",329,8,9.63841963827078e-05,"yes",-0.693155353322209,0.386292328405499,-1.12977543828646,0.373457693849458,247,6,0.484014720169871,"no",0.9,"",0.0042057197788993,8322
"USP7",338,4,0.000138255952047165,"yes",-0.228092984215119,0.441606852347013,-0.950387053905202,0.279820274552218,255,1,NA,NA,1.2,"",0.00348473924537371,8322
"NOL11",331,6,0.000271290975591887,"yes",-0.463601357115786,0.347410528523633,-0.828753586928469,0.507212707857294,247,5,0.44949930746765,"no",2.33333333333333,"",0.00216294160057678,8322
"TOP2A",331,8,0.000402131875403302,"no",-0.666975390843358,0.465077912698294,-1.07588777926782,0.62198899431755,250,5,0.541291195275061,"no",0.9,"ST_Act",0.00732996875751021,8322
"LRP1",294,11,0.000582198310872061,"no",-0.156431418662074,0.282084287907995,-0.253822503770101,0.213712665971687,229,4,0.386861137265665,"no",0.357142857142857,"",0.0100937274693583,8322
"WDR1",331,4,0.000840681888346092,"no",-0.107272158805655,0.458852248341531,-0.353457898859021,0.156805663710333,249,3,0.425242717856437,"no",0.857142857142857,"",0.00144196106705119,8322
"TOPBP1",324,5,0.000853217307038481,"no",-0.582983388946606,0.372808351096058,-0.751279389200242,0.373862145884339,246,2,0.484425810548917,"no",0.666666666666667,"",0.00576784426820476,8322
"RAE1",313,7,0.00119230530111215,"no",-0.739717029234607,0.418724748871742,-1.00347139494069,0.604654564901684,235,4,0.500103809402876,"no",2,"",0.00300408555635664,8322
"GCLC",342,4,0.00125965207557875,"no",-0.10725798710495,0.183913474380483,-0.154732812188853,0.0812096073818857,261,2,0.829051875885462,"no",1.66666666666667,"",0.00192261475606825,8322
"COPS8",349,3,0.00133543814820158,"no",-0.807523516985887,0.460032847209151,-1.10699599545737,0.153227792116395,264,0,NA,NA,1,"",0.000360490266762797,8322
"CYP1A2",337,3,0.0013364464333103,"no",-0.0931942222947463,0.273640135380646,-0.247414579960798,0.173295395857517,257,1,NA,NA,0.5,"",0.000841143955779861,8322
"EEF1G",348,3,0.00151199763486457,"no",-0.310511918220738,0.299170210537077,-0.474404530405533,0.380621781943056,262,1,NA,NA,0.5,"",0.00120163422254266,8322
"EPHB4",312,7,0.00164024995368888,"no",-0.0531890915289041,0.19654193524994,-0.149436219245921,0.165698249703627,234,5,0.245125496279462,"no",0.727272727272727,"",0.00156212448930546,8322
"CDH3",327,3,0.001676612096397,"no",0.0194254261282314,0.184856450311289,-0.033182968102107,0.0803518200694776,250,1,NA,NA,0.444444444444444,"",0.00156212448930546,8322
"MCRS1",350,4,0.00170965628970723,"no",-0.42891348187917,0.361287643259975,-0.94678335221716,0.247320456348809,261,4,0.378562147435785,"no",1,"",0.00168228791155972,8322
"KDM1A",346,4,0.00176727563280642,"no",-0.169719377591086,0.245633925648743,-0.447311914458474,0.15816978163695,263,2,0.213832141401523,"no",1.25,"",0.00168228791155972,8322
"RNPC3",329,6,0.00220438947312144,"no",-0.521769202230862,0.328949949068143,-0.780917155613041,0.505742587644148,252,5,0.489302105828347,"no",0.875,"",0.000720980533525595,8322
"BRWD1",313,17,0.00244641215888751,"no",0.0502211847502935,0.182354127067227,-0.0483062708742205,0.153131917825498,238,9,0.623938040458394,"no",7.33333333333333,"",0.0114155251141553,8322
"SETD1B",310,22,0.00252243678325909,"no",-0.0176246134976291,0.172688830144143,-0.0890755369470622,0.105047526877101,236,14,0.648157692892813,"no",1.47826086956522,"ESCA_LoF,OV_LoF,PAAD_LoF",0.0124969959144436,8322
"RB1",320,20,0.00407949767172825,"no",0.0177650039092573,0.187716222048655,-0.105242663394655,0.106255326950645,244,12,0.00588840134748219,"no",2.44444444444444,"ACC_LoF,BLCA_LoF,BRCA_LoF,CESC_LoF,CM_LoF,ESCA_LoF,GBM_LoF,HC_LoF,HNSC_LoF,LEIS_LoF,LUAD_LoF,LUSC_LoF,MM_LoF,NSCLC_LoF,OS_LoF,OV_LoF,PIA_LoF,PRAD_LoF,RB_LoF,S_LoF,SCLC_LoF,ST_LoF,UCEC_LoF,UCS_LoF",0.0378514780100937,8322
"MASTL",336,7,0.00416629491928211,"no",-0.196929832264891,0.248991008240637,-0.408205322785529,0.366788297211575,252,4,0.49160473855321,"no",0.888888888888889,"",0.0042057197788993,8322
"RPP40",331,6,0.0044002390754552,"no",-0.661021310329845,0.449105227562044,-0.935418472237652,0.462113170695722,251,4,0.491909479673619,"no",1.75,"",0.00156212448930546,8322
"PPM1D",322,10,0.00440298665093675,"no",0.0464173742012504,0.162244990741051,-0.0635617407185057,0.219135659880211,245,5,0.0974682762301737,"no",5.5,"HGG_LoF,PIA_LoF,SBCC_LoF",0.00660898822398462,8322
"SCAF4",321,22,0.00466179093794508,"no",-0.0529184171257036,0.156482301566588,-0.0901600990269352,0.109524511010822,243,15,0.405646593268117,"no",2.5,"",0.0123768324921894,8322
"DLD",324,4,0.00485563743377735,"no",-0.0657939524644871,0.149864306681513,-0.417243025098086,0.189635703417988,242,2,0.105082733491488,"no",2,"",0.00192261475606825,8322
"LLGL2",329,5,0.0048683877843428,"no",-0.0135156732568014,0.238633807253301,-0.127039980929668,0.0525899249650229,249,2,0.449031351283061,"no",0.636363636363636,"",0.00180245133381399,8322
"XRCC5",345,2,0.00539962174345441,"no",-0.665001222216542,0.355953877927028,-1.50141124963339,0.766314145095571,259,1,NA,NA,0.571428571428571,"",0.00300408555635664,8322
"PTPRD",273,10,0.00561500757333203,"no",-0.0449342976730457,0.140175057621665,-0.0617123511108904,0.133923705449417,201,8,0.581258251322479,"no",0.433333333333333,"BCNET_Act,BRCA_Act,CM_Act,DLBCL_Act,ESCA_Act,NSCLC_Act,PRAD_Act,VV_Act",0.0087719298245614,8322
"PLRG1",342,2,0.00580441698325284,"no",-0.870304937652394,0.384797330338568,-1.65823272391005,0.162026645873185,260,0,NA,NA,0.75,"",0.00156212448930546,8322
"CTNNBL1",337,2,0.00598553342068445,"no",-0.657772750933484,0.3603608735007,-1.37950708829488,0.0637288829891447,257,1,NA,NA,1,"",0.00288392213410238,8322
"PRPF4",344,2,0.00599022081328891,"no",-0.65893064790194,0.46676752715137,-1.62169498735138,0.13458216294603,257,1,NA,NA,0.6,"",0.00120163422254266,8322
"BTBD1",339,4,0.00610366937613549,"no",0.0833134250288163,0.172645930271726,-0.100228902440783,0.132039560686475,257,1,NA,NA,1.66666666666667,"",0.00156212448930546,8322
"ATAD5",326,12,0.00642757682085905,"no",-0.0201398384243698,0.201276654351739,-0.0720461358958086,0.165356281174406,248,5,0.749227113666341,"no",3.4,"",0.0087719298245614,8322
"CSNK1A1L",338,3,0.0064390571994208,"no",-0.144681710323774,0.207425539483258,-0.229412273396605,0.0516380842257155,254,2,0.727653413045125,"no",1.5,"",0.00216294160057678,8322
"FYN",335,5,0.00650137193990568,"no",NA,NA,NA,NA,258,3,0.404405176693647,"no",2,"",0.00216294160057678,8322
"UTP18",338,2,0.0065220889451814,"no",-0.618569094945923,0.298701617337657,-1.06054071820923,0.116598172748416,253,0,NA,NA,0.428571428571429,"",0.00144196106705119,8322
"TRPM6",311,7,0.00678019762563237,"no",-0.0426573261324514,0.182336143706442,-0.0861220113552809,0.294839292829662,240,4,0.339224936870781,"no",0.8,"",0.00805094929103581,8322
"DROSHA",291,5,0.00686859247532196,"no",-0.318281845921207,0.268010833212659,-0.535604115620305,0.247373688642509,215,5,0.364500575731902,"no",0.666666666666667,"LUSC_LoF,WT_LoF",0.00480653689017063,8322
