"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"PAQR9",18,3,0.0125482926191315,"no",-0.0848944663091143,0.17613624394525,-0.217947494221914,0.133868937525211,15,3,0.50956173654047,"no","",NA,0.00546448087431694,183
"ATP6V1G2",19,2,0.0136687280603053,"no",0.0579813641258572,0.173229357251529,0.0662109525262626,0.0433087846889604,17,1,NA,NA,"",0.596620378740062,0.0218579234972678,183
"CCND2",19,2,0.0165719964436822,"no",0.110889463604976,0.121700075815775,-0.0429467023392952,0.0056317910162544,16,2,0.803490981883979,"no","AML_Act,CLL_Act",0.309569741038819,0.0273224043715847,183
"WIPI1",19,2,0.017160999451885,"no",0.0271538262035849,0.0948460536979466,-0.0992541085276796,0.0478920187812804,16,2,0.664587914990616,"no","",0.433811835263049,0.0163934426229508,183
"CES1",15,5,0.0172586578216726,"no",-0.0684993147073216,0.133148294757271,-0.15027256600998,0.194646441790042,14,4,0.398842108450219,"no","",NA,0.00546448087431694,183
"DCAF7",19,2,0.0185605362651688,"no",-0.0768773388654573,0.125013457666226,-0.147211664747226,0.0730069452856941,0,0,NA,NA,"",0.00476925173176676,0.0163934426229508,183
"IL7R",20,2,0.0226367145568532,"no",0.0335734766886179,0.132816527262588,0.00390945363804205,0.0311155318989783,17,1,NA,NA,"ALL_Act,ESCA_Act,HC_Act",NA,0.00546448087431694,183
"PKP3",20,2,0.0234934176290005,"no",0.0635501279174543,0.142209247107567,-0.0814851762176123,0.000193726382514456,17,1,NA,NA,"",NA,0.00546448087431694,183
"CA10",20,2,0.0255114856250587,"no",-0.0294170902263077,0.105914405154592,0.029204698988405,0.105549759231355,16,2,0.333045392116148,"no","",0.45589425994679,0.0327868852459016,183
"HLA-B",18,2,0.0260401772519629,"no",0.111563125982396,0.100713181668957,0.0522509590749081,0.0157003651958251,17,1,NA,NA,"CESC_ambiguous,DLBCL_ambiguous,ESCA_ambiguous,HNSC_ambiguous,LY_ambiguous",0.0690864125629232,0.0218579234972678,183
"TMEM207",17,3,0.0276920150033426,"no",NA,NA,NA,NA,15,3,0.435231168910432,"no","",NA,0.0163934426229508,183
"GNA13",20,2,0.0299265461786298,"no",0.0934588550336284,0.0855152410158719,-0.00967764315989145,0.0512518777767477,16,2,0.351617813763332,"no","BLCA_LoF,DLBCL_LoF",0.0946713925707704,0.0109289617486339,183
"NFKBIZ",20,2,0.0312420705288646,"no",-0.0734460276721058,0.204779143040125,-0.197303091940906,0.004490755036483,16,2,0.278792558500199,"no","",NA,0,183
"OR2T29",16,6,0.0348977587409079,"no",NA,NA,NA,NA,13,5,0.545006144489333,"no","",NA,0.0218579234972678,183
"MED17",18,2,0.0366504004644734,"no",-0.0566594674851339,0.198545387524451,-0.0977618081214091,0.0227567445266009,16,2,0.511654060559004,"no","",NA,0,183
"NOTCH4",18,2,0.0403466985096535,"no",-0.0206134089313946,0.150512983789787,-0.182628865392705,0.151192139293651,16,1,NA,NA,"",0.243875390152183,0.0218579234972678,183
"B4GALNT3",19,2,0.041003833908013,"no",-0.0200977379019216,0.112006268767501,-0.144597001594535,0.0477296339821992,15,2,0.649632539642728,"no","",2.7570816770171e-05,0.0437158469945355,183
"AATK",16,2,0.0433215688655299,"no",0.00537482844703633,0.137817886187347,-0.140064109588792,0.135800908743638,15,2,0.251683730034836,"no","",NA,0.00546448087431694,183
"CD36",19,2,0.0461122277770063,"no",0.0570542250812079,0.123721848992331,0.0103600274275513,0.00309106788804503,16,2,0.364502151726609,"no","",0.715161486025355,0.0109289617486339,183
"PSENEN",20,2,0.0475977292349744,"no",-0.0132405063571921,0.131095396570625,-0.0315750980493598,0.0391714635191129,17,1,NA,NA,"",0.00129012288835526,0.0327868852459016,183
"SEMA3C",20,2,0.0486719275993724,"no",-0.0233855500266805,0.16030677107598,-0.0800816101419031,0.130867601932256,16,2,0.20889431809701,"no","",0.760808070378964,0.0109289617486339,183
"PHC3",19,2,0.0487953944338786,"no",-0.245130186611502,0.131260058838467,-0.279632868828054,0.138937257221057,16,2,0.536034048534439,"no","",0.00841712357331392,0.0382513661202186,183
"CAPRIN2",19,2,0.0513436483855156,"no",-0.0924244375188189,0.164709089488691,-0.0977680605164976,0.0216415121579685,16,2,0.321171229451791,"no","",5.23375064378274e-05,0.0437158469945355,183
"CHRD",19,2,0.0521871242718464,"no",0.0597488681879811,0.165475384589882,-0.00400700031548949,0.199869377728238,16,2,0.321761206605144,"no","",0.566188164736951,0.0163934426229508,183
"IL1RAP",16,3,0.052651653083997,"no",0.0248588421993308,0.1359204991172,0.00408393675310975,0.0455103762501557,14,3,0.45366928014794,"no","",0.0102724486097552,0.0163934426229508,183
"DDX5",18,2,0.0531011267635663,"no",-0.252302580618121,0.233248952295816,-0.423267239586264,0.00506194420241751,16,2,0.453261958944003,"no","",0.00966163751232262,0.0163934426229508,183
"SLC2A2",19,2,0.0545935659732069,"no",-0.0631003084782631,0.147038705545877,-0.0811799434106343,0.0356183819339638,15,2,0.197600031612376,"no","",0.973317115723558,0.0273224043715847,183
"MDC1",20,2,0.0562830993154711,"no",-0.0897911005349312,0.124988331319036,-0.180007283786726,0.034493487530229,17,1,NA,NA,"",0.00880494872739274,0.0163934426229508,183
"PHF20L1",19,2,0.0594983640192044,"no",0.0358113211542244,0.140435303550262,0.00429781536347277,0.00850467799921793,16,2,0.108653283800615,"no","",0.00172212807781784,0.103825136612022,183
"SMARCD2",19,2,0.0601409076740583,"no",0.000845162151366175,0.138927280051512,0.0130279856671609,0.0712710124334504,16,2,0.29366754699257,"no","",0.00171962300304536,0.0163934426229508,183
"FKBP4",18,3,0.0637467401839547,"no",NA,NA,NA,NA,15,3,0.515514474077964,"no","",0.000482544497129632,0.0327868852459016,183
"PCOLCE2",17,3,0.0679091763601996,"no",-0.0621696134135072,0.168089929314297,-0.145364130289952,0.102489911888913,15,3,0.565749489268356,"no","",NA,0.00546448087431694,183
"PRKAR1A",20,2,0.0682810575482523,"no",-0.000760612479255515,0.100787826735583,-0.0862817613589814,0.101186218638639,16,2,0.146085112909212,"no","ACC_LoF,MBL_LoF,PIA_LoF",0.588680771641758,0.0163934426229508,183
"NTSR1",20,2,0.0694455596076131,"no",0.0183321575012713,0.215028974207207,-0.266071004093253,0.125761232235396,17,1,NA,NA,"",0.256957610900926,0.0109289617486339,183
"SQLE",15,4,0.0741280845000194,"no",0.109926169670289,0.166661069492723,0.077408179193901,0.0958184191735277,13,4,0.405529262658379,"no","",0.00324607288049677,0.109289617486339,183
"TNS3",16,2,0.0754354305888404,"no",-0.0920331655218429,0.145600821046953,-0.111895856108007,0.0211194396719556,13,3,0.47640884924078,"no","",0.0877663115358672,0.0163934426229508,183
"NMNAT3",17,3,0.0763804707038126,"no",-0.0163661966049688,0.131597932879483,-0.0771594003402261,0.142139238701997,15,3,0.867196264309436,"no","",NA,0.00546448087431694,183
"PIK3CA",20,2,0.0801052900399249,"no",-0.139144565702535,0.240941505413754,-0.370172432664167,0.067242133184058,16,2,0.396936529432345,"no","ACY_Act,AN_Act,ANGS_Act,BLCA_Act,BRCA_Act,CESC_Act,CH_Act,CM_Act,COREAD_Act,EPD_Act,ESCA_Act,GBM_Act,HC_Act,HGG_Act,HNSC_Act,LEIS_Act,LGG_Act,LUAD_Act,LUSC_Act,MBL_Act,MESO_Act,MGCT_Act,NSCLC_Act,OS_Act,OV_Act,PAAD_Act,PIA_Act,PRAD_Act,RCCC_Act,RPC_Act,S_Act,SBCC_Act,ST_Act,UCEC_Act,UCS_Act,VV_Act",0.0320101039255919,0.0273224043715847,183
"U2AF1L4",20,2,0.0819785970301633,"no",-0.443415276222863,0.164191511460947,-0.378461230287098,0.0574264263153441,17,1,NA,NA,"",0.0439891285501347,0.0327868852459016,183
"CACNG4",19,2,0.0837505924350587,"no",-0.0923251267613095,0.112970526730678,-0.212235866647656,0.073633213344363,16,2,0.297070656072528,"no","",0.880649281904804,0.0163934426229508,183
"NSF",14,6,0.0843057545545274,"no",-0.421685802673846,0.318225120817079,-0.465002042905845,0.391911781841435,13,5,0.500782415192305,"no","",0.137141543254048,0.0218579234972678,183
"IKZF1",19,2,0.0855401830437361,"no",0.0518101902915571,0.100441018631593,-0.0421656739608881,0.0586524937368979,15,3,0.644605614268871,"no","ALL_ambiguous,AML_ambiguous,AN_ambiguous,CM_ambiguous",NA,0.0109289617486339,183
"RARA",18,3,0.088014110674205,"no",-0.00357769621395315,0.130518844091602,0.0289748260995264,0.13097097912912,15,3,0.219798312719173,"no","BC_Act",0.167658440530294,0.0218579234972678,183
"TSPAN9",19,2,0.0890025798265619,"no",-0.14082935666309,0.130659180716917,-0.201398384598483,0.0507576963976775,16,2,0.275195396463623,"no","",0.173890234680621,0.0327868852459016,183
"KCNMB3",20,2,0.0891206267404557,"no",0.0258405849595559,0.134055030507686,-0.0590530688992304,0.0541113927236196,16,2,0.620703845318055,"no","",0.740202708511728,0.0273224043715847,183
"TNF",20,2,0.0899400640421934,"no",-0.0456549810326066,0.27099971969081,-0.0956875591201268,0.0318109349688902,17,1,NA,NA,"",0.960130178268398,0.0218579234972678,183
"FBXL14",19,3,0.0914663670504861,"no",-0.0948610220213452,0.126741638741343,-0.0453791996790878,0.152449833545789,15,3,0.796778455278771,"no","",0.000778762384282559,0.0382513661202186,183
"SRMS",19,2,0.0918374643961123,"no",-0.0197683041093457,0.123115793894771,0.0079872073950436,0.0259978726193555,16,1,NA,NA,"",0.0571402479259474,0.0109289617486339,183
"CAMK2B",20,2,0.0918662452034854,"no",-0.185077755242343,0.326922342213807,-0.133745558860677,0.126744902171478,16,2,0.676922233100218,"no","",NA,0.00546448087431694,183
