"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"TNS1",18,2,0.00625332431144288,"no",-0.0938458505514771,0.120554551206725,-0.0452654518948628,0.0257054421059068,16,2,0.594661533513578,"no","","yes",0.00561797752808989,178
"PRDM7",19,2,0.00881948439697524,"no",0.0260968759268925,0.126658477677095,0.015798281868951,0.118118186420939,16,2,0.767917301249499,"no","","no",0,178
"TP53",2,14,0.0172544352248194,"no",0.163911422318878,0.490568646395077,-0.182926628227586,0.125022826817747,1,13,NA,NA,"ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF","yes",0.393258426966292,178
"LRRC7",17,2,0.0269373920380137,"no",-0.121884262691052,0.330838897647248,-0.338155644194173,0.211399946599697,15,2,0.576376730657493,"no","","yes",0.0224719101123595,178
"LRP1B",15,4,0.0285615292344025,"no",0.0696990861048388,0.0970263921466036,0.144328475852517,0.0933692332314736,12,5,0.687058713158259,"no","AML_LoF,AN_LoF,BRCA_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,GBM_LoF,HC_LoF,HNSC_LoF,LUAD_LoF,LUSC_LoF,MBL_LoF,MGCT_LoF,MM_LoF,NB_LoF,NSCLC_LoF,OS_LoF,OV_LoF,PAAD_LoF,PRAD_LoF,RCCC_LoF,RHBDS_LoF,SBCC_LoF,SCLC_LoF,ST_LoF,THCA_LoF,UCS_LoF,UVM_LoF","yes",0.0224719101123595,178
"NCAM1",18,2,0.0320764710701493,"no",0.102028145265996,0.0645164766294685,0.06325813499809,0.015767203566796,0,0,NA,NA,"","yes",0.00561797752808989,178
"FCGBP",17,2,0.0351619549272807,"no",-0.0997982519142069,0.171174907431742,-0.234286990431278,0.050204640964521,0,0,NA,NA,"","yes",0.0224719101123595,178
"EPHA7",19,2,0.0379559592106803,"no",-0.0376129415790466,0.0719553806005584,-0.0653385264305755,0.104695120250302,16,2,0.784342961479886,"no","LUAD_ambiguous,OV_ambiguous,THCA_ambiguous","yes",0.0168539325842697,178
"DUSP19",18,2,0.0433277379043409,"no",0.102760120166177,0.298866843899924,0.0812073170146631,0.014798083365254,16,2,0.316368667891751,"no","","yes",NA,178
"KDM4A",19,2,0.0446267010255226,"no",-0.13278636643208,0.170973622924691,-0.321841908906248,0.143261958333283,16,2,0.497038226003132,"no","","yes",0.00561797752808989,178
"ABCA13",15,3,0.0452072783495114,"no",0.0900251564930375,0.128389270989135,-0.0678707741682158,0.097144518082965,11,3,0.556124068507727,"no","","yes",0.0280898876404494,178
