"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_deleterious_mutation_frequency","tcga_nrSamplesInMutData"
"ABCA13",15,3,0.0143598720762701,"yes",0.0900251564930375,0.128389270989135,0.067592032663445,0.141636243077456,11,3,0.534178609013976,"no","","yes",0,178
"CHD9",19,2,0.0490234492695878,"no",-0.0589495520382438,0.129816315322292,-0.13522215651904,0.0620267544999526,16,2,0.548480329308081,"no","","yes",0.00561797752808989,178
"BRAF",19,2,0.0990533232945528,"no",0.0396828036614194,0.147939651443081,-0.056278240297935,0.174062320197891,15,2,0.302908235719603,"no","BLCA_Act,BRCA_Act,CLL_Act,CM_Act,COREAD_Act,DLBCL_Act,GBM_Act,HGG_Act,LGG_Act,LUAD_Act,LUSC_Act,MM_Act,NSCLC_Act,OV_Act,PIA_Act,PRAD_Act,RPC_Act,THCA_Act,UCEC_Act","yes",0.0112359550561798,178
"ERMAP",19,3,0.160477194276536,"no",-0.0722381022487103,0.0933684421076236,-0.0954418851930697,0.0431497437077765,15,3,0.386373049956805,"no","","yes",0,178
"TP53",2,5,0.161149110108813,"no",0.163911422318878,0.490568646395077,-0.210235756219317,0.068282609330868,1,4,NA,NA,"ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF","yes",0.235955056179775,178
"MACF1",19,2,0.17935496716954,"no",-0.0395011577743478,0.0644851110929537,-0.0795130456433495,0.0105077703427459,15,2,0.47382309021193,"no","","yes",0,178
"KIF5B",17,2,0.187315711101041,"no",0.0924105334605948,0.167501112578954,0.0552076318126459,0.104072016186865,15,2,0.506980846779177,"no","HNSC_Act","yes",0,178
"EP300",15,4,0.206620951725246,"no",0.165888023371197,0.276101603645918,0.0693366293320823,0.230472668888795,12,4,0.388471821088603,"no","BLCA_LoF,CESC_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,HC_LoF,HNSC_LoF,LUSC_LoF,MBL_LoF,NHLY_LoF,NSPH_LoF,SCLC_LoF","yes",0.00561797752808989,178
"TTN",6,3,0.230784949999567,"no",-0.0283648890583115,0.207005304666213,-0.12180960354545,0.169044827015685,6,3,0.580438441134492,"no","","yes",0.0280898876404494,178
"RDH10",18,2,0.242846212571549,"no",-0.0687434477669634,0.160083836635224,-0.0907900955472953,0.0944214494742507,16,2,0.453659813930121,"no","","yes",0.00561797752808989,178
"ZFP36L2",19,2,0.255617592999818,"no",-0.0202936866645767,0.0956474614057813,-0.0140070177594287,0.0630052151297897,16,2,0.454607320231448,"no","","yes",0.00561797752808989,178
"COL24A1",17,2,0.386310596784617,"no",0.223075118565741,0.137874164873806,0.0490588550239069,0.00736958901742445,15,2,0.246908563381713,"no","","yes",0,178
"NBR1",19,2,0.391492823764829,"no",0.0412538828898531,0.148173435098649,-0.036429072386419,0.0521895429598066,16,2,0.163932319541109,"no","","yes",NA,178
"KMT2C",18,2,0.419295303497194,"no",0.0567170691733191,0.0940720870355444,0.0525065642807383,0.0551315509194847,15,2,0.255781389993999,"no","ACY_LoF,AML_LoF,AN_LoF,BLCA_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,EWS_LoF,HC_LoF,HNSC_LoF,LUAD_LoF,LUSC_LoF,MBL_LoF,NSPH_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PCPG_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RPC_LoF,SCLC_LoF,SG_LoF,SSCC_LoF,ST_LoF,THCA_LoF,UCEC_LoF,VV_LoF","yes",0.0280898876404494,178
"OBSCN",15,2,0.421383462254046,"no",0.0296776894036021,0.0834112228196755,-0.0936328435487795,0.0843897303218365,13,2,0.425881687263788,"no","","yes",0.00561797752808989,178
"PBRM1",19,2,0.501461640768411,"no",-0.0388442660857621,0.0917632664293168,0.0174453753847365,0.00493751012430735,16,2,0.786783871529047,"no","CESC_LoF,CH_LoF,CM_LoF,ESCA_LoF,LUAD_LoF,RCCC_LoF,RPC_LoF,UCEC_LoF","yes",0.0168539325842697,178
"CDKN2A",7,3,0.520690233331005,"no",0.054828295814602,0.0895990578936427,0.0720563154239076,0.0695217527136483,5,3,0.249127662544491,"no","ACY_LoF,BLCA_LoF,BRCA_LoF,CH_LoF,CM_LoF,ESCA_LoF,GBM_LoF,HC_LoF,HNSC_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,NSCLC_LoF,OS_LoF,PAAD_LoF,RCCC_LoF,SSCC_LoF,ST_LoF,VV_LoF","yes",0.123595505617978,178
"NEK1",18,2,0.576340038561744,"no",-0.136728484914207,0.0911894729026126,-0.0335822444279355,0.133690336360297,17,1,NA,NA,"","yes",0,178
"RNF4",18,3,0.593010791781967,"no",-0.0291421946905144,0.129939457531721,-0.0127493420013644,0.116203983748566,15,2,0.458932598314357,"no","","yes",NA,178
"RABGAP1",19,2,0.599052474951903,"no",0.00973123376746345,0.109221160673936,-0.147132325822852,0.142742288778929,16,2,0.396753301572847,"no","","yes",0,178
"KIAA2026",18,2,0.619135422640852,"no",0.000636213073993745,0.0679343278360889,-0.0440299256354217,0.0496819490972527,0,0,NA,NA,"","yes",0,178
"ITGB5",19,2,0.645273651815475,"no",-0.0183856900743973,0.284293552386796,0.0528202973766613,0.146774227183652,15,2,0.479402302558005,"no","","yes",0,178
