"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"ABCF1",19,8.3992906776596e-07,"yes",-0.371857702809357,0.209176449477206,16,2.05523290364659e-15,"yes","","","",178
"BMPER",21,9.65045778269558e-07,"yes",-0.136660477677932,0.277420598435802,17,0.9970290007544,"no","","","",178
"EPSTI1",22,1.56475762511767e-06,"yes",-0.125947758466936,0.18181085655314,18,2.81460303453873e-05,"yes","","","",178
"RTN4RL2",21,1.81647799470466e-06,"yes",-0.382870676632248,0.254365148035945,18,0.00241545448244629,"no","","","",178
"GALR3",22,2.94518005447543e-06,"yes",0.0723335967409597,0.144075067411914,18,0.990466377701801,"no","","","",178
"MATN1",20,3.00594402813997e-06,"yes",-0.139029671853445,0.181683617307074,18,0.0134012191057221,"no","","","",178
"EEF2",21,3.07121206149852e-06,"yes",-1.12984137015302,0.484230404826926,18,3.40806667704146e-48,"yes","","","",178
"CASR",20,4.49543178870929e-06,"yes",-0.0897775302566434,0.106847655579247,17,0.703419087450898,"no","","","",178
"PPP1R16A",18,4.90686387089753e-06,"yes",0.0473668559790516,0.110687799266951,16,0.9605106795012,"no","","","",178
"LANCL2",21,5.76957503921379e-06,"yes",-0.2015864271586,0.094446837594421,17,0.999997274869901,"no","","","",178
"ARHGEF3",20,6.8290598363284e-06,"yes",-0.107998338691786,0.156898021218282,18,0.992427746575832,"no","","","",178
"MTSS1L",20,9.17002674947548e-06,"yes",-0.137738903335378,0.145910898582049,17,0.65340536125567,"no","",NA,NA,178
"LRCH3",17,9.4562043295411e-06,"yes",-0.0525166190476339,0.235912067272294,14,0.0638329986106974,"no","","","",178
"ATP6V1B2",21,9.85591130171875e-06,"yes",-0.781721639558876,0.28750172295098,18,1.1608146167305e-33,"yes","","","",178
"KIF26A",19,1.0335287942554e-05,"yes",-0.0197227966864834,0.214705482128286,17,0.0436308292373379,"no","","","",178
"GALK1",18,1.04491457664646e-05,"yes",-0.244933233569261,0.116923163243896,16,2.93531743284575e-05,"yes","","","",178
"CDC40",20,1.12042251733036e-05,"yes",-1.24100478308834,0.510184876271858,17,3.6831004331419e-16,"yes","","","",178
"ILF3",21,1.66998347056464e-05,"yes",-0.683371907373483,0.209793191662987,18,8.18220240454557e-20,"yes","","","",178
"SBDS",20,1.89025406319761e-05,"yes",-0.0259202024740761,0.172130502754493,18,5.28739792458827e-30,"yes","","","",178
"SBDSP1",20,1.89025406319761e-05,"yes",-0.405590759158544,0.496869144851634,0,NA,NA,"","","",178
"KIF23",21,1.90073428669635e-05,"yes",-0.60186984519775,0.517636173239156,17,3.85514379837714e-22,"yes","","","",178
"PCSK7",18,2.07130953909891e-05,"yes",-0.307469397053797,0.191330041235454,16,0.492961378468921,"no","","","SMAD4 (enriched, 25% vs 8%)",178
"OBP2A",19,2.13370504229029e-05,"yes",-0.0056354387722822,0.127873952010323,0,NA,NA,"","","",178
"TAPBPL",19,2.27670108759112e-05,"yes",-0.0739787771925087,0.139220919786873,17,0.999438689996718,"no","","","",178
"SEMA4D",19,2.56666269595254e-05,"yes",-0.0410492804142075,0.0786872825227382,15,0.997666734842212,"no","","","",178
"NCSTN",21,2.96103788801739e-05,"yes",-0.0706372498866257,0.14064621388736,17,0.557166216711352,"no","","","",178
"HNRPDL",20,3.03365555529895e-05,"yes",NA,NA,0,NA,NA,"",NA,NA,NA
"VPS28",20,3.06589439890468e-05,"yes",-0.700897091879969,0.303294118346146,17,4.60536019492696e-17,"yes","","","",178
"ATP2A1",20,3.27121082239262e-05,"yes",-0.100759406395334,0.185737636488601,18,0.615651952931568,"no","","","",178
"PGLYRP2",22,3.58173884841646e-05,"yes",-0.144502943378662,0.196660471216869,18,0.805572296864716,"no","","","",178
"ADRBK2",21,3.65761116139694e-05,"yes",NA,NA,0,NA,NA,"",NA,NA,178
"COPS3",20,4.07349483083979e-05,"yes",-0.987896839218399,0.198810168226743,18,4.26739874286894e-23,"yes","","KRAS (depleted, 67% vs 95%)","",178
"COL4A3",21,4.25627466517807e-05,"yes",-0.315280020287781,0.170057051440889,17,0.999857790513623,"no","","","",178
"GRIA4",21,4.62545495633531e-05,"yes",-0.082393760676883,0.166128585231333,18,0.951465419595617,"no","","","",178
"RRAS",20,4.81281575153917e-05,"yes",-0.481900964918886,0.207452782122019,18,0.146838064805813,"no","","KRAS (enriched, 95% vs 68%)","",178
"TRPM7",22,5.230543164137e-05,"yes",-0.397790629159523,0.425830477086546,18,3.68882440169812e-13,"yes","","","",178
"IL17RA",21,5.3925379973146e-05,"yes",-0.130010091801823,0.127641462930239,17,0.946797110097615,"no","","","",178
"VPRBP",21,6.30471383993735e-05,"yes",NA,NA,0,NA,NA,"",NA,NA,178
"MAPK11",22,6.61136290948665e-05,"yes",-0.175025985642667,0.175133833170273,18,0.999928319983134,"no","","","",178
"TET1",21,6.79044857431231e-05,"yes",-0.183776573609105,0.107501364562105,18,0.999998941734111,"no","GBM_ambiguous,HC_ambiguous,RPC_ambiguous,SBCC_ambiguous,ST_ambiguous","","",178
"TRPC4",19,7.17011468040896e-05,"yes",-0.229269966739025,0.200302258292328,17,0.987215735282545,"no","","","",178
"SIGLEC12",22,7.17444342695495e-05,"yes",-0.0110977697553807,0.09498099484758,18,0.11611600472436,"no","","","",178
"CDKN1B",19,7.19993548055543e-05,"yes",-0.0796225307343299,0.098102891684114,16,0.944546466028594,"no","BCNET_LoF,BRCA_LoF,DLBCL_LoF,HC_LoF,MM_LoF,PRAD_LoF","","",178
"MAT2A",22,7.86198474023686e-05,"yes",-0.689195066735362,0.483474085900505,18,2.08653861502973e-20,"yes","","","",178
"ATP2B4",20,8.31984299010837e-05,"yes",-0.127167417456567,0.140688940964333,18,2.4122423752805e-05,"yes","","","",178
