"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"CLEC1A",20,1.20680079263025e-07,"yes",0.0529652100794425,0.0868372090185677,17,0.694223766153904,"no","","","",178
"PIM3",22,2.03328022863047e-07,"yes",0.127035100865217,0.0766111261120821,18,0.429134888182843,"no","","","",178
"MADD",19,3.13750177616257e-07,"yes",0.124319404759824,0.146573799804374,16,0.540509090939819,"no","","","",178
"TNFRSF19",20,3.58614629880627e-07,"yes",0.0770044724479589,0.135514707731818,18,0.000443115779138248,"no","","","",178
"BCHE",17,7.04167988030413e-07,"yes",0.250882860057963,0.200705934812432,14,0.00520595841754357,"no","","","",178
"MCL1",22,7.65400782642978e-07,"yes",0.303497329260228,0.196454980726291,18,0.99999987976851,"no","","","",178
"UGT8",20,7.79681041840341e-07,"yes",0.0812197752486863,0.121294199884767,18,2.3580784024313e-06,"yes","","","",178
"GPSM1",20,1.92678780019939e-06,"yes",-0.0210316251380135,0.202646934387979,16,4.04970131651083e-07,"yes","","","",178
"CHRM1",20,1.93712079055164e-06,"yes",0.0273223316900257,0.233490623367102,18,0.0157627417662205,"no","","","",178
"WDR35",20,2.92503315690862e-06,"yes",0.0918503094739727,0.127971340595852,17,6.54730482023691e-05,"yes","","","",178
"LOC100507203",20,3.85009792369662e-06,"yes",NA,NA,0,NA,NA,"",NA,NA,NA
"NIM1",20,3.98046399818774e-06,"yes",NA,NA,0,NA,NA,"",NA,NA,NA
"FH",19,5.530270106191e-06,"yes",0.0656343768414808,0.0960473109319377,17,0.99999983317591,"no","NSCLC_LoF","","",178
"CNR2",22,7.3425603858146e-06,"yes",0.0499715084822814,0.125334248111565,18,0.000395024811573719,"no","","","",178
"EP300",15,1.02085650313111e-05,"yes",0.165888023371197,0.276101603645918,12,0.517220064748491,"no","BLCA_LoF,CESC_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,HC_LoF,HNSC_LoF,LUSC_LoF,MBL_LoF,NHLY_LoF,NSPH_LoF,SCLC_LoF","","",178
"STK38",22,1.33649577626072e-05,"yes",0.148852755807414,0.149227870515126,18,2.16905604588646e-10,"yes","","","",178
"HSPA8",21,1.57920922764232e-05,"yes",0.00586617544167791,0.181708268294984,18,0.953675313026707,"no","","","SMAD4 (depleted, 8% vs 24%)",178
"ARHGAP22",21,1.59315682759509e-05,"yes",-0.0308135853624882,0.0901398976904305,17,0.000836906632172063,"no","","","",178
"LY6E",19,1.77400870835509e-05,"yes",0.0577416519831655,0.16961921239496,17,0.000377347512333426,"no","","KRAS (enriched, 93% vs 69%)","",178
"TMEM14C",18,2.23758490944803e-05,"yes",0.0989175243593786,0.054403539766766,16,2.90199497765542e-09,"yes","","","",178
"SLC24A6",21,2.2992556317214e-05,"yes",NA,NA,0,NA,NA,"",NA,NA,NA
"RBMS2",19,2.38810629898945e-05,"yes",0.0176223535922749,0.0974510441121747,17,-1.82576109786226e-09,"yes","","","",178
"SMYD1",20,2.43974534709368e-05,"yes",0.0032273825346805,0.189003345523412,17,0.837066460583163,"no","","","",178
"SETD6",20,3.17035181945924e-05,"yes",0.00421902894279877,0.137264798072414,18,0.377358080737059,"no","","","",178
"LRP1B",15,4.20235960790771e-05,"yes",0.0696990861048388,0.0970263921466036,12,0.998527462930705,"no","AML_LoF,AN_LoF,BRCA_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,GBM_LoF,HC_LoF,HNSC_LoF,LUAD_LoF,LUSC_LoF,MBL_LoF,MGCT_LoF,MM_LoF,NB_LoF,NSCLC_LoF,OS_LoF,OV_LoF,PAAD_LoF,PRAD_LoF,RCCC_LoF,RHBDS_LoF,SBCC_LoF,SCLC_LoF,ST_LoF,THCA_LoF,UCS_LoF,UVM_LoF","","SMAD4 (depleted, 8% vs 24%)",178
