"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"BRAF",6,6,4.77431554995911e-05,"yes",0.113632904823266,0.258890790457648,-0.941580413742082,0.576794310170791,5,4,0.154369424436842,"no","BLCA_Act,BRCA_Act,CLL_Act,CM_Act,COREAD_Act,DLBCL_Act,GBM_Act,HGG_Act,LGG_Act,LUAD_Act,LUSC_Act,MM_Act,NSCLC_Act,OV_Act,PIA_Act,PRAD_Act,RPC_Act,THCA_Act,UCEC_Act",4.74616695517268e-07,0.0408719346049046,367
"SLC35B3",31,4,0.000693317905356636,"yes",0.0891836917448935,0.185681598353605,-0.120257477393419,0.239027677351087,25,1,NA,NA,"",6.2452247710127e-06,0.0463215258855586,367
"NRAS",28,4,0.001080072195914,"no",0.015385939237757,0.0768832383632841,-1.36633254847564,0.663326586384722,19,4,0.0288775648226578,"no","ALL_Act,AML_Act,ANGS_Act,CH_Act,CLL_Act,CM_Act,COREAD_Act,GBM_Act,HC_Act,LGG_Act,LUAD_Act,LUSC_Act,MGCT_Act,MM_Act,NSPH_Act,OV_Act,PAAD_Act,PRAD_Act,THCA_Act,THYM_Act,UCEC_Act",4.97170060596827e-05,0.0299727520435967,367
"SIRPB1",20,16,0.00219623588729391,"no",-0.012688754366645,0.173380562085653,0.0203370733935595,0.179337629040705,16,10,0.653680809348759,"no","",NA,0,367
"LMLN",31,2,0.00483082951589505,"no",0.12091485273566,0.215861264452275,-0.284728552281974,0.122758316490597,23,1,NA,NA,"",0.0446682584245018,0.00544959128065395,367
"TACSTD2",33,2,0.00661240850378696,"no",0.0922469409188167,0.193603828721996,0.0968444538026565,0.183628764266783,25,1,NA,NA,"",NA,0.00272479564032698,367
"TWIST1",28,7,0.00713852936797,"no",-0.0290828136145362,0.114205128960228,-0.0750366007485991,0.0834175670103622,19,7,0.21843594066399,"no","",0.100728841119533,0.0272479564032698,367
"FOXQ1",31,4,0.0080135562908889,"no",0.0706674135581176,0.143037705507485,-0.170662613266702,0.237533075989826,25,1,NA,NA,"",0.826102341443589,0.0408719346049046,367
"GSTM2",33,2,0.00925235804543019,"no",0.181567453643815,0.205884738221948,0.158105794700564,0.108394890687336,24,2,0.431643958380751,"no","",0.00445919773701539,0.0190735694822888,367
"PTGER4",32,3,0.00948358379125295,"no",NA,NA,NA,NA,24,2,0.834540664274925,"no","",0.263614027413614,0.0163487738419619,367
