"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_deleterious_mutation_frequency","tcga_nrSamplesInMutData"
"TP53",21,9,1.06238304294854e-07,"yes",0.84388674257669,0.600633556676956,-0.224119431478989,0.200294931444861,17,6,0.608910853274972,"no","ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF","yes",0.0599571734475375,467
"DHX38",34,2,0.00316049880226802,"yes",-0.63453875413798,0.309304102747602,-1.2320513351963,0.535463510088406,25,1,NA,NA,"","yes",0.00214132762312634,467
"SORL1",26,3,0.0364940635415693,"no",0.0827320006299282,0.18182894493094,0.126497163957825,0.0397189077599778,18,2,0.457690399872874,"no","","yes",0.0107066381156317,467
"MERTK",33,2,0.054938804026897,"no",-0.178960477581194,0.221304222789619,-0.264147493670171,0.112894729338773,24,2,0.5650094448883,"no","","yes",0.00856531049250535,467
"MAP4K4",33,2,0.0623260749509966,"no",0.132721344055594,0.205057652395221,-0.0963387152970645,0.0915221168775865,24,2,0.0941607029783273,"no","","yes",0.00856531049250535,467
"COL1A1",34,2,0.0625388198067316,"no",-0.0185667425413844,0.142957039262812,-0.163923075021162,0.016471278542163,24,2,0.51416853708691,"no","CESC_Act,CM_Act,GBM_Act,MM_Act,SBCC_Act","yes",0.00214132762312634,467
"RFXANK",31,2,0.0767103071509618,"no",0.101266308569545,0.161171681601862,-0.147731649718453,0.041291556734754,22,2,0.812970892076352,"no","","yes",0,467
"PTEN",22,3,0.0788641059798855,"no",0.0593529208933348,0.155322190956309,-0.0296976822554136,0.0695194447257015,15,3,0.60720017496704,"no","BLCA_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LGG_LoF,LUSC_LoF,MBL_LoF,NSCLC_LoF,OS_LoF,OV_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,ST_LoF,THCA_LoF,UCEC_LoF,UCS_LoF","yes",0.0513918629550321,467
"CDH17",32,2,0.0854925218008141,"no",0.24663479411997,0.222064473950706,0.159192183557088,0.236067108886642,23,2,0.117106923741198,"no","","yes",0.00428265524625268,467
"KIF15",30,3,0.093804334352109,"no",-0.239279396500492,0.261638581696627,-0.448567577163743,0.149772583377881,23,2,0.550199053302058,"no","","yes",0.00856531049250535,467
