"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"SOX10",32,1.81121361938959e-17,"yes",-0.772563623168578,0.56013605230305,23,8.3521967304422e-15,"yes","",NA,NA,467
"CLEC1A",35,3.678935616128e-14,"yes",-0.0282446693716731,0.162938642185602,26,0.577499775762836,"no","","","",467
"PAK1",33,4.34149783447427e-13,"yes",-0.134888016932505,0.152648684781271,25,0.250067875355685,"no","","","",467
"HSD17B6",35,1.88478629616896e-12,"yes",-0.0360590762992614,0.188611297258895,26,0.935208992303917,"no","","","",467
"ATF1",34,1.94146421627746e-12,"yes",-0.17395793925358,0.180854605579462,25,3.65806479243175e-06,"yes","","","",467
"GTF2IRD2",34,3.28266509678272e-12,"yes",0.101305971032213,0.374527019099508,0,NA,NA,"","","",467
"GTF2IRD2B",34,3.28266509678272e-12,"yes",-0.121707832692854,0.309277297747414,0,NA,NA,"","","",467
"GTF2IRD2P1",34,3.28266509678272e-12,"yes",NA,NA,0,NA,NA,"","","",467
"TBC1D2B",33,3.47487674257364e-12,"yes",0.0166241934891727,0.218548510137587,26,0.880097459815401,"no","","","",467
"MAP3K11",34,3.67939832304338e-12,"yes",-0.0261512970969889,0.107680209226278,25,1.31560909342395e-05,"yes","","","",467
"FERMT2",35,4.04870704944753e-12,"yes",-0.440936527043176,0.424992825602016,26,8.62307028532057e-17,"yes","","","",467
"HIST1H2BD",34,5.04238105563258e-12,"yes",-0.101086012184415,0.207710826478561,26,4.97058966870807e-06,"yes","",NA,NA,467
"BRD2",35,1.0231787314837e-11,"yes",-0.248503931443668,0.341097230297279,26,1.20376102026521e-12,"yes","","","",467
"PKP1",33,1.45484047250765e-11,"yes",-0.0571034963005439,0.128451861673005,24,0.303744732833287,"no","","","",467
"AGXT",34,1.84134027822562e-11,"yes",-0.0573935670936232,0.208268293270632,24,0.0801987187967023,"no","","","",467
"EMID2",33,2.31012552455266e-11,"yes",NA,NA,0,NA,NA,"",NA,NA,NA
"NR1D1",33,2.61756550019457e-11,"yes",-0.0772786765632649,0.220846016109747,24,0.217598717541262,"no","","","",467
"KDR",33,2.94113793428366e-11,"yes",-0.107444918702213,0.144228276828988,25,0.13643174389363,"no","ANGS_Act,CLL_Act,DLBCL_Act,LUAD_Act,PAIS_Act,SBCC_Act,SSCC_Act","","",467
"CYP2B6",34,5.68408671134561e-11,"yes",0.0678143862989259,0.13402313514651,26,0.998830253038676,"no","","","",467
"SPRYD4",35,6.09623430686673e-11,"yes",-0.151929258130946,0.163360272575275,26,5.49877524422833e-08,"yes","","","",467
"MAK",29,7.00152025269557e-11,"yes",-0.129702048907681,0.181720995070002,23,0.203779371346208,"no","","","",467
"ULK4",34,1.01951422027568e-10,"yes",-0.12253740803628,0.194955456357399,25,0.999999999999993,"no","","","",467
"FOXJ3",35,1.32914595682444e-10,"yes",-0.137585143495107,0.294293461527763,26,0.225300851162924,"no","","","",467
"RHOBTB3",35,2.18641587378985e-10,"yes",-0.0399560939149648,0.144647102495668,26,0.999990273960473,"no","","","",467
"ZRANB2",34,2.27155310095555e-10,"yes",-0.652911831681672,0.406961328778561,25,1.66877598051799e-10,"yes","","","",467
"PARP8",32,2.44926064412983e-10,"yes",-0.0363564036274743,0.150698353926926,24,0.999889783904204,"no","","","",467
"GJA10",34,4.26987861837123e-10,"yes",-0.149453005072795,0.221514902115693,25,0.679578703627251,"no","","","",467
"KCNB1",32,4.97291717957325e-10,"yes",-0.00129914177641862,0.140053307064714,25,0.9999956589809,"no","","","",467
"ESPN",32,5.5731182804342e-10,"yes",-0.0939434332768566,0.130006279677477,25,1.28614684514688e-10,"yes","","","",467
"DUSP10",34,7.35947593859595e-10,"yes",-0.21222984288717,0.426056654118396,25,0.00908092997584172,"no","","","",467
"CXCL5",35,1.01286879924647e-09,"yes",-0.0748410109732392,0.192570634217488,25,0.864977348239183,"no","","","",467
"PAK6",35,1.42174845208516e-09,"yes",NA,NA,26,0.010905358443174,"no","","","",467
"FANCE",36,1.54096076120877e-09,"yes",-0.0843601492726311,0.181505765424221,26,0.00254527488788992,"no","","ABCB11 (enriched, 15% vs 3%), AKAP9 (enriched, 14% vs 3%), DSPP (enriched, 12% vs 2%), DUSP27 (enriched, 16% vs 4%), PRSS12 (enriched, 9% vs 0%)","SCN10A (enriched, 6% vs 0%)",467
"KCTD4",36,1.66858634979454e-09,"yes",-0.145255525944987,0.168442056439089,26,0.999990807509562,"no","","","",467
"GSTP1",32,1.76517153581486e-09,"yes",-0.168555549143874,0.237759540315655,24,0.0105407401638983,"no","","","",467
"RAG2",34,1.88236886618865e-09,"yes",-0.0879290230435107,0.214374695759138,26,0.99511724293943,"no","","","",467
"OXTR",33,2.56239139093964e-09,"yes",0.0551968438207513,0.148976473694424,24,0.999999999969386,"no","","","",467
"CBLC",33,2.67831010248065e-09,"yes",-0.0534091256950668,0.194907836534867,24,0.352577576209952,"no","","","",467
"ANGPTL4",34,2.67898039158749e-09,"yes",0.113624812829592,0.103379922844744,26,0.994401168848601,"no","","","",467
"ACAP3",32,2.91288988445276e-09,"yes",-0.0441323559569605,0.19125019309709,23,0.00189536791399407,"no","","","",467
"PSTPIP1",35,3.07512748481648e-09,"yes",-0.112321935575465,0.140904949549643,26,0.646357005355457,"no","","","",467
"TBC1D9",35,3.35599663613516e-09,"yes",0.10104774171041,0.148530384871991,26,0.733055993675867,"no","","","",467
"VSTM1",35,3.47286717641267e-09,"yes",-0.0208141802811926,0.177722097548113,26,0.999999999999747,"no","","","TTN (enriched, 25% vs 12%)",467
"ARHGAP12",36,3.88536801618273e-09,"yes",0.0350021929971657,0.161044894138587,26,0.999956220559164,"no","","","",467
"TAF3",33,4.52342321363869e-09,"yes",-0.631798939026752,0.352401095501677,24,4.22095357643188e-12,"yes","","","",467
"ASCC3",30,5.01614062477818e-09,"yes",-0.119422012189783,0.183026428971244,22,0.000234008194100296,"no","","","",467
"KIAA0226",31,5.62116137094252e-09,"yes",NA,NA,0,NA,NA,"",NA,NA,467
"CHRNA10",36,6.38934001513675e-09,"yes",-0.217279036332119,0.203532644416254,26,0.0269270831979723,"no","","","",467
"GRIK4",28,6.80710663032684e-09,"yes",-0.180142623009144,0.158793996725445,20,0.93724943643071,"no","","","",467
"AATK",30,6.83775067687046e-09,"yes",-0.0360904221443807,0.254573232122893,24,0.282063577248024,"no","","","",467
"PEA15",34,7.87071033149175e-09,"yes",-0.257436718774288,0.655690619882908,24,0.0127439174049855,"no","","","",467
"CHST9",32,8.7748755516496e-09,"yes",0.0332046846074782,0.220631035133419,24,0.999999993210609,"no","","","",467
"IGSF21",33,1.16327416796764e-08,"yes",-0.0666353633898192,0.342855128423676,25,0.656238469803852,"no","","","",467
"SH2D4A",33,1.24601668000435e-08,"yes",-0.0780358515477073,0.216543270114561,24,0.99999999978737,"no","","","",467
"TAAR2",34,1.57213538383866e-08,"yes",0.0546997367330671,0.142027093983652,26,0.82178864030456,"no","","","",467
"ATP1A3",35,1.6476905641316e-08,"yes",0.0660873975683715,0.150788449014846,26,0.0271175040002131,"no","","CTNNA2 (enriched, 16% vs 3%)","",467
