"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"TP53",21,1.66533453693773e-15,"yes",0.84388674257669,0.600633556676956,17,4.82213713404178e-10,"yes","ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF","ANK3 (depleted, 22% vs 40%), CASR (depleted, 8% vs 21%), DDX60 (depleted, 3% vs 14%), EFCAB13 (depleted, 0% vs 7%), HIVEP2 (depleted, 2% vs 15%), LRRN1 (depleted, 2% vs 11%), MACF1 (depleted, 5% vs 17%), PCDH15 (depleted, 17% vs 33%), SLITRK3 (depleted, 4% vs 16%), TRANK1 (depleted, 12% vs 28%), TRHDE (depleted, 7% vs 21%), WNK2 (depleted, 1% vs 11%)","PTEN (enriched, 9% vs 2%), TP53 (depleted, 0% vs 12%), TTN (depleted, 13% vs 25%)",467
"CFL1",32,2.80109269112927e-13,"yes",0.0034707491473065,0.171439672719809,23,0.999999863425871,"no","","","",467
"CDC37",31,3.35509398041722e-13,"yes",-0.129957160281319,0.38780177852359,23,0.999999999999984,"no","","","",467
"CDK1",34,6.08957329006898e-13,"yes",-0.496467775564088,0.453031644625269,26,1,"no","","","",467
"NBN",36,7.47402140177655e-13,"yes",0.00761071555947398,0.26064430297292,26,0.989522523277539,"no","","","",467
"SNRPA",34,7.80486786311485e-13,"yes",-0.245076090167091,0.292051171424521,24,0.999993396337804,"no","","","",467
"PTPN13",31,3.3397729026774e-12,"yes",0.17667961931507,0.213372861468422,24,0.381237515842352,"no","BRCA_LoF","","",467
"RNF20",35,6.04660765901599e-12,"yes",-0.252399154223043,0.234172825966775,26,0.999999999999788,"no","","","",467
"CLP1",33,1.09429132422179e-11,"yes",-0.254855898322066,0.3799613851966,23,0.999999999999995,"no","","","",467
"ATP5A1",34,1.26884058815335e-11,"yes",-0.228873343772358,0.141579349321259,0,NA,NA,"",NA,NA,467
"NR2E3",36,1.67832414632585e-11,"yes",0.0100790461183627,0.300031825524948,0,NA,NA,"","","",467
"AGAP2",34,2.06800132573903e-11,"yes",0.00317048742432541,0.148759346855156,24,0.999999926439957,"no","","","",467
"SNRPB2",36,2.47288856058958e-11,"yes",-0.139695375251454,0.227952165672412,26,0.999997844027179,"no","","","",467
"PTPN11",33,5.37845323833608e-11,"yes",0.128662897641128,0.107524155691993,24,0.963060507837547,"no","ALL_Act,AML_Act,CLL_Act,COREAD_Act,GBM_Act,LGG_Act,MM_Act,NB_Act,PIA_Act","","",467
"NCBP2",34,5.4656168479994e-11,"yes",-0.329149889968161,0.152672777620031,25,1,"no","","","",467
"RFC4",34,5.51361178935394e-11,"yes",-0.564888694842997,0.470931748331996,25,0.999999999999199,"no","","ERICH3 (enriched, 31% vs 13%)","",467
"INPP5A",34,6.0485061403881e-11,"yes",0.0173534253259155,0.22244194825342,25,0.198812986594361,"no","","BRAF (depleted, 38% vs 61%)","",467
"SERPINE3",36,6.8985595014226e-11,"yes",0.0899614978083773,0.121405370888355,26,0.193159578885652,"no","","","",467
"CD79A",33,7.24407200891619e-11,"yes",0.070476912534213,0.180780596721403,25,5.12923037376822e-14,"yes","","","",467
"MAP3K3",33,7.51686490829684e-11,"yes",0.00755042964111485,0.337473605458502,25,0.995015202783114,"no","","","",467
"GABRA6",32,8.12867551047702e-11,"yes",NA,NA,23,0.0236360868464156,"no","","","",467
"RASGEF1C",33,1.62360902500325e-10,"yes",0.174989201117665,0.283743787840175,25,0.0427818359679528,"no","","","",467
"ARFRP1",32,2.14413375942968e-10,"yes",-0.0553238659494363,0.228492342629528,24,0.999999999999683,"no","","","",467
"GPR149",30,2.8381719197057e-10,"yes",0.00177454372398972,0.26161590908994,22,0.203894312841129,"no","","","",467
"ACTG1",32,3.01242253364364e-10,"yes",-0.65789796238927,0.325383248715194,24,0.999997515761056,"no","","BRAF (depleted, 36% vs 63%)","",467
"ICK",36,3.32137539693633e-10,"yes",0.0784694842489694,0.120787108507248,26,0.268567784248028,"no","",NA,NA,467
"FUBP1",33,3.98109545329817e-10,"yes",-0.363808337451045,0.281166074986709,24,0.999896525969182,"no","CLL_LoF,LGG_LoF","","",467
"GNRHR",36,5.44546963077153e-10,"yes",0.175666043817002,0.439091782891595,26,0.0417276758524759,"no","","","",467
"PDZK1IP1",34,7.6783346347753e-10,"yes",0.202052304018392,0.214063778306153,26,0.999999948546023,"no","","","",467
"CDC40",35,9.84542891657725e-10,"yes",-0.757383935664157,0.417738514548883,26,0.999999999999994,"no","","","",467
"MAP4K1",34,1.03747732627113e-09,"yes",0.0550730483462692,0.153358712866452,25,0.00156378799323664,"no","","","",467
"PLRG1",34,1.11601983210363e-09,"yes",-0.732061079784528,0.290374819281754,25,0.999999999999992,"no","","","",467
"KRAS",34,1.14255582772671e-09,"yes",-0.048248279376242,0.140420659268306,26,0.999999934219772,"no","ALL_Act,AML_Act,AN_Act,BC_Act,BCNET_Act,BLCA_Act,BRCA_Act,CESC_Act,CH_Act,CLL_Act,CM_Act,COREAD_Act,DLBCL_Act,ESCA_Act,HC_Act,LUAD_Act,MGCT_Act,MM_Act,NSCLC_Act,OV_Act,PAAD_Act,PAIS_Act,PIA_Act,PRAD_Act,RPC_Act,ST_Act,THCA_Act,UCEC_Act,UCS_Act","","",467
"STAT3",35,1.20888854482359e-09,"yes",0.0245813236354734,0.172378301440937,26,4.40232009735197e-08,"yes","DLBCL_ambiguous,NHLY_ambiguous","","",467
"ATP1A1",31,1.52271473208287e-09,"yes",-0.173953949535951,0.254280596159929,22,0.999999999999987,"no","","PRLR (enriched, 16% vs 3%)","",467
"GPR31",33,1.67565383790702e-09,"yes",0.0988901277879402,0.204035394490297,25,0.997238371973916,"no","","","",467
"CDC27",33,2.45722830971573e-09,"yes",-0.377205305880095,0.265691586200088,25,1,"no","","","",467
"WDR24",35,2.79924861068537e-09,"yes",0.0640626808607849,0.280725405536324,26,0.999999999989504,"no","","","",467
"FADD",30,2.94482682683395e-09,"yes",-0.0284447155472232,0.144402464228261,22,0.963954865455632,"no","","","",467
"ATP6V1G2-DDX39B",34,3.17445503217328e-09,"yes",-0.407658339655584,0.283578203561417,0,NA,NA,"","","",467
