"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"CDK14",5,2,0.00184708429122712,"yes",0.122746421453824,0.292157554377319,-0.013311550434422,0.104833834375072,4,2,0.670385703222191,"no","",0.236988600400725,0.0118577075098814,253
"LOC643387",6,2,0.00266029235371835,"yes",0.0960338940657275,0.153337316257645,-0.10245320006759,0.231934811802245,0,0,NA,NA,"",NA,0.00395256916996047,253
"C20orf151",7,2,0.00641195296970463,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,NA,NA
"FARP2",5,3,0.00871001600329728,"no",0.0943632754970745,0.156653875478406,-0.135817192242342,0.0697783168559222,2,3,0.336115785656216,"no","",NA,0.00395256916996047,253
"ARFRP1",5,2,0.00886123024002382,"no",-0.206282757740634,0.079784922385791,-0.4705469603392,0.267289061679529,6,0,NA,NA,"",0.000568654874056718,0.0355731225296443,253
"KIF5A",4,3,0.0251620720950066,"no",0.0369793754189173,0.101384085248393,-0.335143936721327,0.147271264722364,5,1,NA,NA,"",0.000101667005912322,0.0671936758893281,253
"PMS1",6,2,0.0256332341155911,"no",0.105324364740972,0.157113631525106,0.072132191140909,0.197976072338387,5,1,NA,NA,"",0.070554207821956,0.00790513833992095,253
"APCDD1L",5,2,0.0306296510249351,"no",-0.0347390823576409,0.215507287255482,-0.340679279087097,0.22333404217489,6,0,NA,NA,"",0.267167755187953,0.0513833992094862,253
"PTGER3",5,2,0.0317487977591006,"no",-0.496734184749624,0.669177751372992,-0.387656267913888,0.0757944357455185,4,2,0.67647393184552,"no","",0.146081071459297,0.0276679841897233,253
"AURKA",7,2,0.0357266293344112,"no",-0.613906629209071,0.372927965642588,-0.523624027410193,0.0254251415591015,6,0,NA,NA,"",0.00847913035746259,0.0237154150197628,253
"KLHL30",4,2,0.0406379072108831,"no",-0.142778069136376,0.18761674609427,-0.0214510133646555,0.124561554243742,3,2,0.209083332935624,"no","",NA,0.00395256916996047,253
"STK25",5,2,0.0444409796523363,"no",0.227487084138059,0.142246687058885,-0.0237699680644085,0.239277610436607,2,3,0.455639806071773,"no","",NA,0.00395256916996047,253
