"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"TP53",3,5,0.00079365700090588,"yes",0.840060298611768,0.120797439125639,-0.241998805060815,0.14079591939782,2,4,0.193945844960836,"no","ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF","yes",0.207627118644068,236
"MCF2L2",7,2,0.0115840440283303,"no",-0.0747488005309967,0.184586764677189,-0.381713658030544,0.04175719699382,5,1,NA,NA,"","yes",0.00423728813559322,236
"FGFR1OP",5,2,0.0236797330871976,"no",0.0593240491027303,0.19212741382267,-0.411395852165001,0.165855136162334,5,1,NA,NA,"","yes",0.00423728813559322,236
"MED6",6,2,0.0417996891524872,"no",-0.149691375334232,0.153413229617277,-0.515942437518707,0.0763297863738395,5,1,NA,NA,"","yes",0,236
"UBR5",4,4,0.0523928505378163,"no",-0.325909120276606,0.311508500125678,-0.48879201715671,0.221033650441581,4,2,0.476823596778112,"no","CM_ambiguous,DLBCL_ambiguous,MM_ambiguous,RCH_ambiguous","yes",0,236
"TRPM7",5,2,0.0542583773827061,"no",-0.282444184322103,0.25658351668748,-0.484671081020167,0.0576368702624165,4,1,NA,NA,"","yes",0.00847457627118644,236
"SLC1A5",6,2,0.0606857032633041,"no",-0.328347381893503,0.456183803905244,-0.363740611885509,0.18271534127548,5,1,NA,NA,"","yes",0.00423728813559322,236
"GABRD",5,2,0.0687554752152506,"no",-0.138732504530693,0.0931070412019804,-0.241259512791716,0.0656644193931535,5,1,NA,NA,"","yes",0.0127118644067797,236
"JAK1",4,2,0.0741016563357716,"no",0.0271145626443188,0.159829701131459,0.0056630398439515,0.136931583848974,4,1,NA,NA,"OV_ambiguous,PRAD_ambiguous,UCEC_ambiguous","yes",0.00423728813559322,236
"STK32B",6,2,0.0773938416012305,"no",0.0100917477647901,0.199331159883404,-0.330393650928502,0.0533595765430325,5,1,NA,NA,"","yes",0.00423728813559322,236
"RARA",7,2,0.084899499106347,"no",0.0480070242273228,0.138386633331348,0.110694977225574,0.0097593103731665,5,1,NA,NA,"BC_Act","yes",0.00423728813559322,236
"TJP1",4,2,0.0916773223605867,"no",-0.0214799817096645,0.345808228103075,-0.0881601546461614,0.166674932487867,3,2,0.432830417847062,"no","","yes",0.00847457627118644,236
"ATG2A",7,2,0.0926265319039122,"no",0.136283345759046,0.124738806276581,-0.106972233724655,0.105444746018533,5,1,NA,NA,"","yes",0.00847457627118644,236
"CD44",6,2,0.104031009097728,"no",0.252760775945612,0.245254361206564,-0.116146184416016,0.295160854635053,5,1,NA,NA,"","yes",NA,236
"SI",6,2,0.114580700197086,"no",0.0168303251037904,0.13807472446796,0.19271685347953,0.204825902891552,5,1,NA,NA,"","no",0.00847457627118644,236
"CHD6",7,2,0.124899219490036,"no",0.121749311029267,0.292438709475725,-0.020498708419322,0.0707830349596924,4,2,0.766125375730884,"no","","yes",0.0127118644067797,236
"PARK2",5,2,0.132549431699317,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.00423728813559322,236
"ACTA2",7,2,0.138372227804021,"no",-0.0572480704826711,0.373193177629565,-0.456751449583496,0.00489442796011302,5,1,NA,NA,"","yes",0.00423728813559322,236
