"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"JPH4",8,6.71238905120185e-06,"yes",-0.0673369537701071,0.253724152098638,6,0.0466618132556157,"no","","","ATRX (depleted, 6% vs 21%), TP53 (depleted, 11% vs 23%)",236
"CLEC7A",8,9.09831442212682e-05,"yes",0.000449033667424575,0.198859279625908,5,0.999999338295671,"no","","","",236
"DGKG",8,0.000120650547942909,"yes",-0.201357961505533,0.270091890884875,6,0.964596990404234,"no","","TP53 (enriched, 31% vs 10%)","RB1 (enriched, 17% vs 4%)",236
"FXR2",8,0.000128340020590038,"yes",0.046313846826212,0.413630881121394,6,0.791896247333764,"no","","","NF1 (enriched, 8% vs 0%)",236
"ADRA2C",8,0.000168556957702991,"no",-0.508439794940679,0.337139980936241,6,0.851898181446535,"no","","","",236
"ZCCHC3",7,0.000184625373770558,"no",-0.34814701016283,0.266084871020284,5,0.724719317686128,"no","","","",236
"ARHGEF26",8,0.000205832463328144,"no",0.0891006310105257,0.325799903299682,5,0.580339710663094,"no","","","RB1 (enriched, 17% vs 5%)",236
"HMGA2",8,0.000225357335660151,"no",-0.0990363297398274,0.265292304496465,6,0.0160974923750926,"no","","","NF1 (enriched, 8% vs 0%), RB1 (depleted, 3% vs 18%)",236
"WDR65",9,0.000290603368625053,"no",NA,NA,0,NA,NA,"",NA,NA,236
"DSG1",7,0.000299225276949523,"no",-0.0065188567427175,0.321967671179138,6,0.947988238258285,"no","","","",236
"EPB41",7,0.000313012709180645,"no",-0.216761938852039,0.219783946221163,6,0.97021690751341,"no","","","",236
"GRAPL",5,0.000356238550551335,"no",-0.135402658712779,0.228509745418173,0,NA,NA,"","","",236
"LGSN",7,0.000373019665011039,"no",-0.230169087824738,0.238778463532854,6,0.876343016043672,"no","","","",236
"BCKDK",8,0.000383764257366436,"no",-0.322451372755156,0.216559579936236,6,0.409498430930901,"no","","","",236
"NMUR2",7,0.000420410010890424,"no",NA,NA,6,0.98439718909252,"no","","","",236
"WISP1",9,0.000457970057580907,"no",NA,NA,6,0.996916079170037,"no","",NA,NA,236
"KBTBD13",8,0.000486666593501931,"no",-0.0834418375896014,0.155266210349003,6,0.996196982215525,"no","","","",236
"RPH3A",9,0.000501403743049314,"no",-0.0654812415629757,0.133933736381822,6,0.325115986801099,"no","","","",236
"HMGN2",9,0.0005062384739652,"no",0.150164015568203,0.221915103972613,6,0.00173004843433372,"no","","","ATRX (enriched, 20% vs 7%)",236
"TRMT5",9,0.0005062384739652,"no",-0.285151189143705,0.216574993538173,6,4.28524542307114e-06,"yes","","","",236
"TTC19",7,0.000559790152864073,"no",-0.120954312402759,0.230301275562039,6,0.49296596462728,"no","","","",236
"ING5",5,0.00060004547133514,"no",-0.119342083544122,0.181006151778245,2,0.39858369252042,"no","","","",236
"PDE1B",7,0.000642240466644906,"no",-0.0794645039179527,0.157765458499283,6,0.85660629258474,"no","","","",236
"MARCO",8,0.000682376711467195,"no",-0.323909521938244,0.540163165360585,6,0.101654342241106,"no","","","",236
"ABCA10",8,0.000706392945187562,"no",-0.574750424766791,0.489119749804881,6,0.999778859504562,"no","","","",236
"CHST3",8,0.000728205019798951,"no",-0.343288536038338,0.223334338551029,6,0.836048540361728,"no","","","NF1 (enriched, 8% vs 0%)",236
"PAAF1",8,0.000734565368975329,"no",-0.319996301299702,0.26199772874192,5,0.996916181827491,"no","","","",236
"MCF2L",6,0.000817282568125516,"no",-0.0872660278117855,0.0715143632299013,5,0.98169237354739,"no","","","",236
"ALKBH2",9,0.000839970613668431,"no",-0.150632522059068,0.308791070408655,6,0.998776873474424,"no","","","",236
"FUK",5,0.000850007764318411,"no",-0.140659056785169,0.0594596476744,5,0.699777742003335,"no","",NA,NA,236
"ARHGEF38",9,0.000876244755610162,"no",-0.0964522484023467,0.129871309721153,6,0.994973205867601,"no","","","",236
"ERMAP",8,0.000976666228538572,"no",-0.158059564515626,0.162117619812227,6,0.848762967082758,"no","","","",236
"NR1H3",9,0.000993969331469947,"no",-0.122248082289475,0.210019070832832,6,0.995753664024053,"no","","","",236
"KIAA1549",7,0.00112109381298831,"no",-0.585802370900819,0.571734814685408,6,0.887992205536116,"no","","","RB1 (depleted, 3% vs 18%)",236
"SPOP",9,0.00116144170420071,"no",-0.229252000013748,0.152603872195441,6,0.124971018679283,"no","NHLY_Act,PRAD_Act,UCEC_Act,UCS_Act","","RB1 (enriched, 17% vs 4%)",236
"PYGO2",9,0.00117529029430898,"no",-0.419704107289764,0.200519019369957,6,0.295273028151545,"no","","","",236
"CES1",4,0.00122792652302751,"no",-0.125308783823635,0.320104059742731,5,0.635576119084263,"no","","","",236
"ELL2",8,0.00134063558794874,"no",-0.0469863320960803,0.25420424801762,6,0.981138042259563,"no","","","",236
