"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"AHCTF1",9,8.87160012119637e-09,"yes",-0.740631963157913,0.262676229449245,6,0.999999650762605,"no","","","",236
"TP53",3,4.59916997819221e-08,"yes",0.840060298611768,0.120797439125639,2,5.19788220243456e-08,"yes","ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF","","TP53 (depleted, 10% vs 25%)",236
"EEF2",8,5.88893917630173e-07,"yes",-0.69784734410101,0.330864449691221,6,1,"no","","","",236
"TFRC",8,6.6548554422674e-07,"yes",-0.423824850721641,0.380389766517977,5,0.99998988848703,"no","","","",236
"MCM6",5,9.18085965584403e-07,"yes",-0.510644112136101,0.089107727383087,5,0.999998534053055,"no","","","",236
"PABPN1",6,9.98871029112003e-07,"yes",-0.986689959731553,0.199039825733886,5,0.999998590284835,"no","","","",236
"RGPD5",9,3.03485138020143e-06,"yes",NA,NA,0,NA,NA,"","","",236
"RGPD6",9,3.03485138020143e-06,"yes",NA,NA,0,NA,NA,"","","",236
"RGPD8",9,3.03485138020143e-06,"yes",0.728869142703973,0.499300163340678,0,NA,NA,"","","",236
"RRM2",6,3.34590950135105e-06,"yes",-0.363241622250164,0.0828383534674755,5,0.999999999999612,"no","","","",236
