"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"MST1",5,4.60406462589489e-06,"yes",-0.12824190668652,0.157548910411206,2,0.0161816412483726,"no","",0.651760029345595,"up","","",492
"MST1P2",5,4.60406462589489e-06,"yes",0.136074961788879,0.56324296730174,0,NA,NA,"",0.519134339979322,"up","","",492
"LRRK2",5,5.36513664988902e-06,"yes",0.00756312438239711,0.148299954982496,2,0.348276005842957,"no","",1.13935127015172e-24,"up","BRAF (depleted, 49% vs 61%), HRAS (enriched, 9% vs 1%), NRAS (enriched, 15% vs 4%)","",492
"PSIP1",5,1.41318866278507e-05,"yes",-0.0882366375987099,0.181418063012204,2,0.724108082361076,"no","BLCA_Act",4.52187244587238e-07,"down","BRAF (enriched, 68% vs 42%), HRAS (depleted, 2% vs 7%)","",492
"IL8",5,1.7711348489542e-05,"yes",NA,NA,0,NA,NA,"",NA,NA,NA,NA,492
"CCNO",5,3.68982184287576e-05,"yes",-0.248871212146499,0.03555339860575,2,0.709804946446172,"no","",0.0601079273630535,"up","BRAF (depleted, 47% vs 63%), HRAS (enriched, 7% vs 2%), NRAS (enriched, 13% vs 6%)","",492
"NME7",5,5.58031154724414e-05,"yes",-0.189801365251914,0.069234906914428,2,0.998896069960493,"no","",2.35248244358263e-13,"down","","",492
"CAPZA2",5,5.86757500850888e-05,"yes",0.00828706939089399,0.138373832341608,2,0.877584833466796,"no","",0.841719354960872,"up","BRAF (enriched, 67% vs 43%)","",492
"TMEM241",5,7.76964334944627e-05,"yes",-0.0333171305895376,0.155334343793974,2,0.999354645729972,"no","",0.215613721990099,"down","BRAF (enriched, 62% vs 48%)","",492
"TLN1",5,8.16008235251323e-05,"yes",-0.842457307942841,0.0759021250473439,2,0.00516165878038446,"no","",0.605620204875017,"down","BRAF (enriched, 61% vs 49%), NRAS (depleted, 6% vs 13%)","",492
"PAX8",5,8.20997060609968e-05,"yes",-0.271271368243449,0.310983204908214,2,0.221602964203128,"no","",3.38787022895927e-17,"down","BRAF (depleted, 36% vs 73%), HRAS (enriched, 7% vs 2%), NRAS (enriched, 15% vs 3%)","",492
"WNT11",5,8.95225469574085e-05,"yes",-0.0940397310289401,0.113193838326929,2,0.514412750880441,"no","",1.20997045801893e-25,"down","BRAF (depleted, 45% vs 65%)","",492
"RHOB",5,9.43580361818884e-05,"yes",-0.109422807115444,0.178194671145889,2,0.214186995131674,"no","",4.04535685988362e-08,"down","","",492
"RNF43",5,0.000124536480522574,"yes",-0.605371562203964,0.203341200987876,2,0.878608914618883,"no","ALL_LoF,CH_LoF,COREAD_LoF,ESCA_LoF,PAAD_LoF,PRAD_LoF,ST_LoF,UCEC_LoF",0.00306839927353246,"up","BRAF (enriched, 77% vs 33%), HRAS (depleted, 1% vs 8%), NRAS (depleted, 2% vs 16%)","",492
"NFIA",5,0.000136987887079713,"yes",-0.351767472966589,0.159587439435846,2,0.628112983640459,"no","",3.4185255199997e-18,"down","BRAF (depleted, 34% vs 76%), HRAS (enriched, 7% vs 2%), NRAS (enriched, 16% vs 2%)","",492
"SMYD4",5,0.000154380460096103,"yes",-0.330598880431897,0.306082195914514,2,0.608941851340482,"no","",2.74278159784042e-15,"down","BRAF (depleted, 44% vs 66%)","",492
"EGLN1",5,0.000156603323639144,"yes",-0.167688857027581,0.070354244404838,2,0.0138472837979971,"no","",0.000260713086559868,"down","","",492
"ACVR2A",5,0.000163860163017439,"no",-0.0272545280519235,0.362370319554818,2,0.627814810036854,"no","COREAD_LoF,HC_LoF,PAAD_LoF,SSCC_LoF,ST_LoF,UCEC_LoF",0.076829151840033,"down","","",492
"COL1A2",5,0.000179180800536288,"no",-0.0706823489850423,0.255373592106828,2,0.978604421323148,"no","",0.0114007301826232,"up","BRAF (enriched, 65% vs 45%), NRAS (depleted, 5% vs 14%)","",492
"WBP2",5,0.00018613354468494,"no",-0.00864894527454353,0.0266207395049079,2,0.723851251513245,"no","",1.086505060479e-18,"up","BRAF (enriched, 74% vs 36%)","",492
"WWTR1",5,0.000201027478426969,"no",-0.591314121314786,0.350230049805606,2,0.0103605565864299,"no","",2.40737983284774e-09,"down","BRAF (depleted, 41% vs 68%)","",492
"PARP4",5,0.00022947121676333,"no",-0.253814045910543,0.065583887489567,2,0.564488906395022,"no","COREAD_ambiguous,MM_ambiguous",1.92521665161986e-14,"up","BRAF (enriched, 75% vs 35%), HRAS (depleted, 1% vs 8%), NRAS (depleted, 2% vs 16%)","",492
"BHLHA15",5,0.000229660956421855,"no",-0.143060223083114,0.290748789433475,2,0.0814248700917019,"no","",1.79260265618986e-12,"down","BRAF (depleted, 46% vs 64%)","",492
"CLTCL1",5,0.000248469488763249,"no",-0.135212346815798,0.102125809626177,2,0.166606251364962,"no","HC_Act",6.58703448284039e-26,"down","BRAF (depleted, 47% vs 63%)","",492
"KCNK5",5,0.000251312358739311,"no",-0.194132030565365,0.094357064515876,2,0.467199196979583,"no","",1.0806944878204e-21,"up","HRAS (enriched, 8% vs 1%)","",492
"HIF1AN",5,0.000265280060552594,"no",-0.200642591422701,0.119495317904676,2,0.0475288768295858,"no","",7.74691496795551e-05,"down","BRAF (enriched, 68% vs 42%), NRAS (depleted, 5% vs 14%)","",492
"PSTPIP2",5,0.000267416991598558,"no",-0.0134277224273178,0.235894056930095,2,0.984555979595331,"no","",0.000165661463370835,"up","BRAF (enriched, 77% vs 33%), HRAS (depleted, 0% vs 9%), NRAS (depleted, 1% vs 18%)","",492
"TMEM55A",5,0.000307338142874403,"no",-0.0792701862408137,0.113604235013591,0,NA,NA,"",NA,NA,NA,NA,492
"PKN3",5,0.000377435371328892,"no",-0.252500248810053,0.227629985351311,2,0.128913130916345,"no","",7.11275121370947e-19,"up","","",492
"TWIST1",4,0.000389027825154622,"no",-0.0581724399427808,0.168897278179962,1,NA,NA,"",0.73396123203499,"up","BRAF (enriched, 61% vs 49%), NRAS (depleted, 5% vs 14%)","",492
"IP6K2",5,0.000390607116500781,"no",-0.297345317298461,0.129603321198938,2,0.267230764014055,"no","",0.0136632323391513,"up","","",492
"WDR41",5,0.000484431895792657,"no",-0.0186112261632258,0.0529092392879705,2,0.989439453088647,"no","",9.90659570030713e-08,"up","","",492
"FFAR1",5,0.000490322627907898,"no",-0.273640144559049,0.195923269645584,2,0.70663622817771,"no","",0.0315363257993892,"up","BRAF (enriched, 65% vs 45%), NRAS (depleted, 6% vs 13%)","",492
