"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"TFRC",5,1.41297211486702e-07,"yes",-0.0975905751715377,0.206092271737858,2,0.993177337323315,"no","",8.67804260120697e-18,"down","","",492
"RASL10A",5,1.6230303349074e-06,"yes",0.0722357819427299,0.0575862128442454,2,0.835977626156915,"no","",0.553065051990142,"down","","",492
"ILF3",5,2.35659586089731e-06,"yes",-0.132532507796887,0.260894446347429,2,0.999126262038451,"no","",0.36515170278068,"down","","",492
"EPHB2",5,4.39987188971536e-06,"yes",0.146180329274354,0.095469993539024,2,0.165610062563417,"no","",1.23731161890998e-05,"down","","",492
"RRP9",5,7.55227181481466e-06,"yes",-0.386367828329031,0.309182147271592,2,0.982388943493138,"no","",6.62335135372286e-15,"up","BRAF (enriched, 79% vs 31%), NRAS (depleted, 4% vs 15%)","",492
"ELL3",5,1.49455328428694e-05,"yes",-0.0061777439347429,0.411493389839581,2,0.933826815033063,"no","",0.000848257461626154,"down","BRAF (enriched, 77% vs 33%), HRAS (depleted, 1% vs 8%), NRAS (depleted, 3% vs 15%)","",492
"AATF",5,1.68489509057013e-05,"yes",-0.457824866944739,0.236570887238662,2,0.990892780309527,"no","",0.00165201262015793,"up","","",492
"GUCA1B",5,1.83307398321508e-05,"yes",0.0954873235825762,0.266880666405132,2,0.203795923862315,"no","",2.38122207560123e-08,"down","BRAF (depleted, 43% vs 67%), NRAS (enriched, 13% vs 6%)","",492
"RFC4",4,2.04131266272611e-05,"yes",-0.51399114508788,0.180617129360151,2,0.973186361552988,"no","",0.00198462377353875,"up","BRAF (enriched, 62% vs 48%)","",492
"TTC28",5,2.57285792486517e-05,"yes",0.456096394267913,0.32862693598376,2,0.90910828864828,"no","",8.78049987961919e-06,"down","","",492
"FCGRT",5,2.58606219227797e-05,"yes",0.134570930232635,0.208668538388694,2,0.175092171690853,"no","",2.45159016766823e-08,"down","BRAF (depleted, 41% vs 68%)","",492
