"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"MFSD3",8,2,3.16796066681615e-05,"yes",-0.0144701396042673,0.0805295833468342,-0.0226283842486538,0.0341747609641477,8,2,0.288069109419464,"no","",1.81774694742563e-05,0.0793036750483559,517
"TFRC",8,2,0.00042747425515363,"yes",-0.369154004959067,0.232853258844662,-0.981615929524695,0.199184229372754,8,2,0.455229528041837,"no","",1.12162234450569e-10,0.129593810444874,517
"CYC1",8,2,0.00533261942457827,"no",-0.169085807408072,0.168871502090117,-0.237481916722828,0.028526875428869,8,2,0.43658995543783,"no","",2.60363164875453e-06,0.0793036750483559,517
"ADIPOQ",8,2,0.0085456781407221,"no",-0.209111996923038,0.165742675146052,-0.196388068978663,0.0334853617132645,8,2,0.270886335408144,"no","",0.208718992915517,0.13926499032882,517
"MTNR1B",8,2,0.00953272955206459,"no",0.0462894053804947,0.0869052936022644,0.0486746485076513,0.0041007710664407,8,2,0.817884706889197,"no","",0.0061546111800501,0.0154738878143133,517
"LY6E",8,2,0.0133916810693593,"no",0.0983481582498161,0.0281540936028807,0.0992864936647245,0.0015300889209385,8,2,0.592192060776434,"no","",0.00196265233794454,0.0812379110251451,517
"PLEKHG3",8,2,0.0152003198881203,"no",-0.00591209091844978,0.0875901134835624,-0.182801418585087,0.060833487213407,8,2,0.61719767116358,"no","",0.000785196860254315,0.011605415860735,517
"TCIRG1",6,4,0.0243551090487065,"no",0.0394236034738294,0.0854256662744605,-0.0339994152055876,0.0588608610814211,6,4,0.597730745542184,"no","CM_LoF",7.42151088532271e-06,0.0522243713733075,517
"PAK2",8,2,0.0257456848000843,"no",-0.0645065571136574,0.0508971578205867,-0.109728427500949,0.0175944252661109,8,2,0.737962047798745,"no","THCA_Act",1.25128297237386e-12,0.129593810444874,517
"YAP1",8,2,0.0279505156428514,"no",0.0124765522129543,0.244144304298233,-0.195239594936073,0.114574868858273,8,2,0.293654772491943,"no","",2.44409738709188e-15,0.0502901353965184,517
"MAPK15",8,2,0.0347097579197412,"no",0.00532094451242159,0.0846145095207358,-0.0345154853621254,0.042752228040019,8,2,0.265655633011001,"no","",0.000982463043420446,0.0793036750483559,517
"C14orf169",8,2,0.0373329553610669,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.00386847195357834,517
"CLDN1",8,2,0.042152041430708,"no",-0.045371582189443,0.228668466376078,-0.0886406142155399,0.0898730418786541,8,2,0.523612230006612,"no","",0.0213542757884862,0.135396518375242,517
"RAB38",8,2,0.0457366606742682,"no",-0.288332756307926,0.152733378194888,-0.238725953999747,0.033178574928258,8,2,0.063971924286467,"no","",0.00197424773547475,0.0154738878143133,517
"SERPINH1",7,3,0.0463407012219341,"no",-0.253024853019249,0.157480818276332,-0.201278836023567,0.0593422498677545,7,3,0.0437075551882554,"no","",8.67098103988678e-06,0.0309477756286267,517
"PTGER4",8,2,0.0472832935977286,"no",NA,NA,NA,NA,8,2,0.52865855479878,"no","",0.0966621715859254,0.0386847195357834,517
