"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"TCIRG1",6,2,0.0280952367270316,"no",0.0394236034738294,0.0854256662744605,-0.0107960574429099,0.0749608521403776,6,2,0.572797333858264,"no","CM_LoF","yes",0.0078740157480315,508
"CLASP1",8,2,0.0326630252826936,"no",-0.163725418272109,0.139231045333353,-0.180699952356073,0.062181155763269,0,0,NA,NA,"","yes",0.00984251968503937,508
"MCM10",8,2,0.0396215604412622,"no",-0.0892783877933938,0.127594404770623,-0.268356593951321,0.0455648111218295,8,2,0.501661807590173,"no","","yes",0.00196850393700787,508
"ASTN2",8,2,0.0471940078956917,"no",-0.218440120379112,0.064772493590992,-0.16663079278308,0.0344196420740635,8,2,0.101212275452788,"no","","yes",0.0255905511811024,508
"PRLR",6,2,0.0607958797426381,"no",-0.0486102445179457,0.0453035539699344,-0.0784796383745088,0.0117393114986306,6,2,0.691778666688184,"no","","yes",0.0137795275590551,508
"PIK3CA",6,2,0.0635074986982209,"no",-0.118610730780442,0.0552893244539639,-0.341452274392266,0.160331189412681,6,2,0.324984040962113,"no","ACY_Act,AN_Act,ANGS_Act,BLCA_Act,BRCA_Act,CESC_Act,CH_Act,CM_Act,COREAD_Act,EPD_Act,ESCA_Act,GBM_Act,HC_Act,HGG_Act,HNSC_Act,LEIS_Act,LGG_Act,LUAD_Act,LUSC_Act,MBL_Act,MESO_Act,MGCT_Act,NSCLC_Act,OS_Act,OV_Act,PAAD_Act,PIA_Act,PRAD_Act,RCCC_Act,RPC_Act,S_Act,SBCC_Act,ST_Act,UCEC_Act,UCS_Act,VV_Act","yes",0.167322834645669,508
"LRP1",8,2,0.0702332896577884,"no",-0.137112753336999,0.130634663837608,-0.408709311674707,0.120582411790345,8,2,0.313191240910408,"no","","yes",0.047244094488189,508
"TTN",4,6,0.0750233060446454,"no",0.0704946611390004,0.139787482430652,-0.0161908154371132,0.0751159026144727,4,6,0.365381557479239,"no","","yes",0.358267716535433,508
"APC",7,3,0.151288368771251,"no",0.0184645369016146,0.0576751814234509,-0.0357049217755816,0.0718991826281697,7,3,0.464832446870195,"no","AN_LoF,BC_LoF,CH_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,HC_LoF,NSCLC_LoF,PRAD_LoF,SBCC_LoF,SSCC_LoF,ST_LoF,UVM_LoF,VV_LoF","yes",0.031496062992126,508
"NWD1",8,2,0.157282090900535,"no",-0.0282463612473846,0.0702584968396261,-0.0728385700538086,0.00765273668436166,8,2,0.311590490176812,"no","","yes",0.0078740157480315,508
