"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"WDR12",10,6.9829458798367e-12,"yes",-1.15164156234344,0.114011190504072,10,5.67903409425777e-13,"yes","",0.00179728088383417,"up",NA,NA,508
"PSMC4",9,4.16797535318074e-11,"yes",-1.09908332423533,0.11265754706588,9,8.48882390000445e-08,"yes","",1.60902664377109e-15,"up","","",508
"RPP38",10,2.49825441800713e-10,"yes",-0.58856365818812,0.219060159263288,10,5.66541696622835e-08,"yes","",0.0113140474146076,"up","","",508
"WDR82",10,1.70755630433656e-09,"yes",-0.866948276781621,0.307948242892437,10,2.38327366562773e-22,"yes","",0.0124557560191376,"down","","",508
"TP63",8,2.88721870791241e-09,"yes",-0.495470035014879,0.148652867774698,8,1.52373705969174e-06,"yes","BLCA_ambiguous,HNSC_ambiguous,NB_ambiguous,UCEC_ambiguous",2.05137837051783e-13,"up","","",508
"MKI67IP",9,3.40883878132506e-09,"yes",NA,NA,0,NA,NA,"",NA,NA,NA,NA,NA
"VPRBP",10,4.33104104324516e-09,"yes",NA,NA,0,NA,NA,"",NA,NA,NA,NA,508
"CDH1",10,7.6117608717071e-09,"yes",-0.0777513627522241,0.093387915059009,10,0.160958443699275,"no","BLCA_LoF,BRCA_LoF,DLBCL_LoF,SSCC_LoF,ST_LoF",0.493872520855684,"up","","NSD1 (enriched, 12% vs 3%)",508
"GNL3",10,8.03379060216158e-09,"yes",-0.867991684420614,0.185943888154195,10,8.44231801738082e-10,"yes","",0.00151568250109666,"down","","",508
"PMP2",10,8.11083719318055e-09,"yes",-0.202054188446164,0.076505893635238,10,0.996727466524581,"no","",5.72906578044177e-12,"down","","",508
