"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"FERMT2",9,3.18087001183187e-10,"yes",0.201186373739828,0.05743029009964,9,0.876621253540917,"no","",0.189850702333349,"up","","",508
"CES1",9,1.8779443555772e-09,"yes",0.0287133784782769,0.064910645300461,9,0.0433201160584441,"no","",3.17320518974354e-08,"up","","",508
"YIF1B",10,2.02116873238012e-08,"yes",-0.146209254766608,0.158122222971375,10,0.280464818065026,"no","",8.83662563661456e-16,"up","","",508
"RFWD2",9,3.14740474793851e-08,"yes",0.101656310690009,0.136659754538049,0,NA,NA,"",NA,NA,NA,NA,508
"MDM2",10,1.25464605038594e-07,"yes",0.163293174261218,0.0791279039168182,10,0.80192002428574,"no","LEIS_Act",0.583262398531847,"up","","CDKN2A (depleted, 12% vs 22%), TP53 (depleted, 26% vs 41%)",508
"ITGB5",10,2.07518689010477e-07,"yes",0.0859105300592193,0.0845057547525963,10,0.760447227825169,"no","",7.12728017015891e-12,"up","","CASP8 (depleted, 1% vs 11%)",508
"ECHS1",10,2.90355322452029e-07,"yes",0.0373109079309554,0.0758151464264477,10,0.00527238758420601,"no","",3.33958834040851e-08,"down","","",508
"TLK2",9,6.5385812442198e-07,"yes",0.0323601903240474,0.0278548713819562,9,0.994456752399244,"no","",4.10517907064613e-15,"up","","",508
"MLNR",10,7.77447422439792e-07,"yes",0.109411727075819,0.109460962806489,10,0.322374049145201,"no","",0.0045921307998525,"up","","CSMD3 (enriched, 7% vs 1%)",508
"SRSF4",9,1.01132638774537e-06,"yes",0.0390954774201146,0.0486347806970671,9,0.988260244230183,"no","",1.50171918723722e-12,"up","PRKDC (enriched, 8% vs 0%)","",508
"OR2T12",10,1.46789478316922e-06,"yes",0.137214164591263,0.0768964411671934,10,0.238329160174795,"no","",0.984345633366668,"up","","",508
"OR2T8",10,1.46789478316922e-06,"yes",0.0965187294034247,0.155144131323551,10,0.0130964568825993,"no","",0.787168360685505,"up","","FLG (enriched, 7% vs 1%), NSD1 (depleted, 1% vs 10%)",508
"RHOQ",9,1.80082197642761e-06,"yes",0.0860444116228507,0.0587470036621154,9,0.999998437414228,"no","",0.127187066350079,"down","","TP53 (enriched, 40% vs 27%)",508
"DUSP27",9,1.95850309547829e-06,"yes",0.220361580571329,0.103678184268552,9,0.00567768900785992,"no","",0.000213619737963764,"down","","TP53 (enriched, 40% vs 26%)",508
"CNKSR1",9,3.1018645439973e-06,"yes",0.152570568460964,0.045456602162559,9,0.0177733078591973,"no","",0.970982772043623,"up","","",508
"SARDH",8,3.23254171108456e-06,"yes",-0.038923872861561,0.0518607565563548,8,0.616184432329229,"no","",0.000381787247443495,"up","","",508
"ANGPTL4",10,3.2786220786063e-06,"yes",0.00705204007391915,0.12101710925173,10,0.130054475952045,"no","",0.22045704127508,"up","","",508
"ITGAV",8,6.09282253194454e-06,"yes",0.136110053822726,0.120788238948605,8,0.00609639431734488,"no","",5.61251138654473e-14,"up","","CASP8 (depleted, 2% vs 10%)",508
"MAGOHB",10,6.49871955793468e-06,"yes",0.0542699552172913,0.118183381285252,10,0.0024361413909405,"no","",4.1843638814972e-19,"up","","",508
"OR2T33",9,6.99569728168647e-06,"yes",-0.11866614502386,0.244263847303172,9,0.941543601980373,"no","",0.676666933712616,"up","","",508
"OR2T5",10,7.40178330738139e-06,"yes",-0.0492831366733042,0.142047461068648,10,0.999998255776165,"no","",NA,NA,"MGAM (enriched, 60% vs 4%)","",508
