"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"BRAF_600",6,28,8.35472892310136e-06,"yes",0.113632904823266,0.258890790457648,-1.00327780083222,0.726692995655649,5,20,0.0851868131533162,"no","BLCA_Act,BRCA_Act,CLL_Act,CM_Act,COREAD_Act,DLBCL_Act,GBM_Act,HGG_Act,LGG_Act,LUAD_Act,LUSC_Act,MM_Act,NSCLC_Act,OV_Act,PIA_Act,PRAD_Act,RPC_Act,THCA_Act,UCEC_Act","yes",0.43254817987152,467
"NRAS_61",28,5,1.1627640615813e-05,"yes",0.015385939237757,0.0768832383632841,-1.46503040494517,0.23510302856808,19,5,0.0103757656996591,"no","ALL_Act,AML_Act,ANGS_Act,CH_Act,CLL_Act,CM_Act,COREAD_Act,GBM_Act,HC_Act,LGG_Act,LUAD_Act,LUSC_Act,MGCT_Act,MM_Act,NSPH_Act,OV_Act,PAAD_Act,PRAD_Act,THCA_Act,THYM_Act,UCEC_Act","yes",0.226980728051392,467
"CSMD1_1077",16,2,0.00452643150720489,"no",-0.0588298624410076,0.264124258753826,-0.227974409317881,0.0403287853690355,10,1,NA,NA,"","yes",0.012847965738758,467
"GPN3_73",33,2,0.00466641742117016,"no",-0.380984771468323,0.29277974422484,-1.76949601051497,0.680067679764725,24,1,NA,NA,"","yes",0,467
"CD22_203",31,2,0.00624930290554378,"no",-0.0531143032769355,0.199692358950273,-0.038936953537229,0.00772352361054285,23,1,NA,NA,"","yes",0.00214132762312634,467
"SIGLEC12_281",31,2,0.00816280285532195,"no",0.0100006533482793,0.20544309950249,-0.104121813543098,0.029149163257888,23,1,NA,NA,"","yes",0.00214132762312634,467
"GPR87_17",30,2,0.0261310227006104,"no",0.0750250489644806,0.1405252363124,-0.269075176574123,0.0986089569163154,22,1,NA,NA,"","yes",0,467
"RAPGEF5_31",24,2,0.0355161639598451,"no",-0.0445858756822508,0.360548540225589,-0.25606056570186,0.10234056305646,17,2,0.4540990998733,"no","","yes",0,467
"TBR1_263",32,2,0.0510850594076361,"no",-0.0176160731057277,0.150963819725857,-0.0509953568718048,0.0306066089425201,23,2,0.326108281206678,"no","","yes",0,467
"MED1_936",31,2,0.0651393444343319,"no",-0.313488394420436,0.723253957374663,-1.14002556689541,0.229761458714601,23,2,0.445681054744021,"no","","yes",0,467
"ABCB11_397",29,2,0.0693954635442338,"no",0.04955707233227,0.14266260511039,-0.0302730132615338,0.0234055165266831,21,1,NA,NA,"","yes",0,467
"CECR2_273",25,2,0.0722006756923275,"no",-0.0479602340169777,0.221736744233135,-0.0157749188956755,0.0152355533392497,0,0,NA,NA,"","yes",0,467
"DGKG_83",32,2,0.0736402708736777,"no",-0.0266984310493911,0.193461746301353,-0.185401750864588,0.0879191161736027,22,2,0.753158164983132,"no","","yes",0,467
"S1PR5_187",31,2,0.0740898114316483,"no",0.112270584742811,0.223604188380315,0.200918107975296,0.00256139619629997,22,2,0.805615127035191,"no","","yes",0,467
"MYO7B_1134",33,3,0.0743035894849654,"no",0.0421752226354422,0.140028749811556,-0.254303914997216,0.146870243177443,24,2,0.9197994538433,"no","","yes",0,467
"AFP_130",32,2,0.0912224555442489,"no",0.101267112759058,0.156411721960633,0.252443827498002,0.0955696947331595,23,2,0.666271236482463,"no","","no",0,467
"OR2T1_138",29,2,0.0922213579774945,"no",0.0547272569176856,0.180623342456381,-0.0416850576709462,0.049925324748992,22,1,NA,NA,"","no",0,467
"CX3CR1_185",34,2,0.103527446692139,"no",0.0590781668590118,0.220577734383521,0.208064089548764,0.036698324477887,25,1,NA,NA,"","yes",0.00428265524625268,467
"SRSF4_234",33,2,0.105200157764352,"no",0.0137723927572103,0.128812261547561,-0.171932205439453,0.00393222856627201,24,1,NA,NA,"","yes",0,467
"WDR62_983",29,2,0.10673731467278,"no",0.0252929132162487,0.194096695428535,-0.0645714237954125,0.0857279065139025,21,2,0.640070269850618,"no","","yes",0,467
"GEMIN5_1387",30,2,0.118556370264709,"no",-0.554919169169118,0.418190812184026,-0.948566147158418,0.0208023443383345,22,2,0.484274601576996,"no","","yes",0,467
"SMAD4_313",32,2,0.121225287540694,"no",-0.110473125367344,0.266372635938296,-0.149955678941185,0.118988915879992,23,2,0.586659457619549,"no","BRCA_LoF,CESC_LoF,CH_LoF,COREAD_LoF,ESCA_LoF,HNSC_LoF,PAAD_LoF,PRAD_LoF,ST_LoF","yes",0,467
"TBC1D8_855",30,2,0.121771085223945,"no",-0.0531787939111464,0.138949903015469,0.00549779810461315,0.0204643282864417,22,2,0.489681440521979,"no","","yes",0,467
"ERN2_100",31,2,0.124863675269825,"no",NA,NA,NA,NA,23,2,0.398279990872201,"no","","yes",0,467
"ANGEL2_16",32,2,0.132661014426185,"no",-0.151828977689788,0.32318488724788,-0.0678203201659575,0.1159837185792,24,1,NA,NA,"","yes",0,467
"CSMD1_1994",16,2,0.136359917843235,"no",-0.0588298624410076,0.264124258753826,-0.273680801569559,0.168042764545197,10,1,NA,NA,"","yes",0,467
"SIPA1L1_385",28,2,0.151784995857155,"no",-0.0103178369177367,0.167066750079013,-0.0884536893410448,0.0422388503980932,21,2,0.644119460688172,"no","","yes",0,467
"SDHA_171",29,2,0.153937405996507,"no",0.0660029768250657,0.201139744331473,-0.105393826796451,0.223972606500792,23,1,NA,NA,"","yes",0,467
"GABPB1_23",32,2,0.161569693104959,"no",-0.337172533489563,0.424503177795128,-0.412207065519577,0.0382064308426054,24,1,NA,NA,"","yes",0,467
"ZEB1_1093",28,3,0.164303699186928,"no",0.0315728371935957,0.13547775398067,-0.0661900780327438,0.0974051480265365,22,2,0.701762605354473,"no","MM_LoF,NSPH_LoF","yes",0,467
"TTN_10525",3,2,0.167379318709621,"no",0.0719013302511884,0.183336367639513,0.0928054540962885,0.0210305516250706,2,1,NA,NA,"","yes",0,467
"TTN_13025",3,2,0.167379318709621,"no",0.0719013302511884,0.183336367639513,0.0928054540962885,0.0210305516250706,2,1,NA,NA,"","yes",0,467
"TTN_13493",3,2,0.167379318709621,"no",0.0719013302511884,0.183336367639513,0.0928054540962885,0.0210305516250706,2,1,NA,NA,"","yes",0,467
"TTN_14495",3,2,0.167379318709621,"no",0.0719013302511884,0.183336367639513,0.0928054540962885,0.0210305516250706,2,1,NA,NA,"","yes",0,467
"TTN_16019",3,2,0.167379318709621,"no",0.0719013302511884,0.183336367639513,0.0928054540962885,0.0210305516250706,2,1,NA,NA,"","yes",0,467
"TTN_1933",3,2,0.167379318709621,"no",0.0719013302511884,0.183336367639513,0.0928054540962885,0.0210305516250706,2,1,NA,NA,"","yes",0.00214132762312634,467
"TTN_23552",3,2,0.167379318709621,"no",0.0719013302511884,0.183336367639513,0.0928054540962885,0.0210305516250706,2,1,NA,NA,"","yes",0,467
"LRP1B_61",19,2,0.167448012340965,"no",0.049375835303077,0.159560322083847,0.087576171992176,0.167568002743376,16,1,NA,NA,"AML_LoF,AN_LoF,BRCA_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,GBM_LoF,HC_LoF,HNSC_LoF,LUAD_LoF,LUSC_LoF,MBL_LoF,MGCT_LoF,MM_LoF,NB_LoF,NSCLC_LoF,OS_LoF,OV_LoF,PAAD_LoF,PRAD_LoF,RCCC_LoF,RHBDS_LoF,SBCC_LoF,SCLC_LoF,ST_LoF,THCA_LoF,UCS_LoF,UVM_LoF","yes",0,467
"CLEC12A_40",32,2,0.171446519368055,"no",-0.040397834538204,0.14551970750903,0.00724900875419405,0.0401178866456464,25,1,NA,NA,"","yes",0,467
"PRKCI_410",31,2,0.174515306460684,"no",-0.0626129371796183,0.126343871242121,0.147613945328341,0.0949388456116309,23,2,0.104255512852862,"no","","yes",0,467
"PTPRT_1158",25,2,0.175059119699093,"no",0.0964421422490153,0.162351054013194,0.024690919174716,0.134694611059321,18,2,0.179146624041327,"no","ESCA_LoF,HNSC_LoF,OV_LoF","yes",0,467
"PDE1A_389",33,2,0.181431400443511,"no",-0.107319456538937,0.243002984310213,-0.0531767412441495,0.164791265203024,25,1,NA,NA,"","yes",0,467
"RER1_94",31,2,0.187854864824446,"no",0.0412251655134458,0.131920179468253,0.084102246724415,0.0121597555671512,23,1,NA,NA,"","yes",0,467
"BRD1_858",31,2,0.190585351827831,"no",-0.00760348401287408,0.161443238445285,-0.195385375504023,0.0874826153511345,22,2,0.289165783675016,"no","","yes",0,467
"ENDOV_235",33,2,0.196934082873088,"no",-0.0556835307683088,0.150088313250619,0.0951757830348404,0.0295212799613265,25,1,NA,NA,"","yes",0,467
