"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"CTNNB1",8,2,0.00545891180511922,"yes",-0.0119645211746174,0.101995845804303,-1.0227341776525,0.518432270017928,7,2,0.0586542885933148,"no","ACC_Act,COREAD_Act,HBC_Act,HC_Act,LUAD_Act,MBL_Act,NSCLC_Act,PIA_Act,PRAD_Act,RHBDS_Act,SBCC_Act,ST_Act,UCEC_Act,WT_Act","yes",0.00609756097560976,492
"APC",8,2,0.00555472592719201,"yes",0.00313978875142791,0.111876212791094,-0.380215872708837,0.254784368526376,7,2,0.496640614755778,"no","AN_LoF,BC_LoF,CH_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,HC_LoF,NSCLC_LoF,PRAD_LoF,SBCC_LoF,SSCC_LoF,ST_LoF,UVM_LoF,VV_LoF","yes",0.0426829268292683,492
"MCM2",8,2,0.00848634709839424,"no",-0.336975805297722,0.132385820471097,-0.621638721671163,0.0610782863288386,7,2,0.49039095042989,"no","","yes",0.00813008130081301,492
"POTEF",8,2,0.0112838022170226,"no",0.157233382474584,0.123313901973758,-0.147351411919023,0.0482374068494667,7,2,0.967063538611695,"no","","yes",0.040650406504065,492
"MMS22L",7,2,0.0146751612233873,"no",-0.84620881346309,0.435733345319701,-0.977533461517236,0.0261432987632743,7,1,NA,NA,"","yes",0.032520325203252,492
"TBC1D23",7,2,0.0190462464183131,"no",-0.153810977478813,0.121594991361763,-0.374022530559191,0.199654138053056,6,2,0.709582563060955,"no","","yes",0.0101626016260163,492
"LRP2",8,2,0.0339268648381351,"no",0.0535063182664026,0.137692741690048,-0.0104127354262735,0.126032993890886,7,2,0.239382436781503,"no","","yes",0.144308943089431,492
"BAZ2B",7,2,0.0361463975427449,"no",0.0166430789705065,0.0726223633254875,-0.0106007013169401,0.0838612741839009,6,2,0.388986523849587,"no","","yes",0.0365853658536585,492
"RHOA",7,3,0.0494635778428123,"no",0.0175769850618094,0.264903666830086,-0.300280314592773,0.492575143882455,6,3,0.380861813757712,"no","BLCA_Act,BLY_Act,DLBCL_Act,HNSC_Act,LY_Act,NHLY_Act,PRAD_Act,ST_Act","yes",0.00609756097560976,492
"LPAR1",8,2,0.0498582266109718,"no",-0.0890136547038885,0.0924296512730656,0.0214286266228845,0.04061476311593,7,2,0.645850426691711,"no","","yes",0.00203252032520325,492
"ADRA2B",8,2,0.051002276063708,"no",-0.00628254253523605,0.0849904587336437,-0.150311009589585,0.0898558868345734,8,1,NA,NA,"","yes",0.0142276422764228,492
"KIDINS220",8,2,0.0563112443860117,"no",-0.0934500629641919,0.145984595777277,-0.151164720383383,0.303741875171344,7,2,0.346603522092363,"no","","yes",0.0223577235772358,492
"HSD11B1",8,2,0.0609827455063501,"no",-0.0367556185379121,0.214129154149826,-0.155085210989851,0.0815922234745824,7,2,0.736362117779353,"no","","yes",0.00609756097560976,492
"FCGBP",6,3,0.0644252772425677,"no",-0.0669885817048445,0.179191433680442,-0.0798946049936643,0.0547845609532901,0,0,NA,NA,"","yes",0.107723577235772,492
"ITIH2",7,2,0.0714400504695795,"no",0.000387822042770565,0.0440252018926658,0.138391599109997,0.00712259501793253,6,2,0.458107567835161,"no","","yes",0.0304878048780488,492
"COL24A1",8,2,0.0872571177381173,"no",0.0905622072808254,0.0999928311307986,0.0514538331766779,0.0344472575482076,7,2,0.468089529423497,"no","","yes",0.0650406504065041,492
"ATAD2B",8,2,0.1008069006586,"no",0.0329521875304674,0.0309829897190341,-0.0467976448105708,0.0685586141424691,7,2,0.639547215473206,"no","","yes",0.0121951219512195,492
"SIM1",7,2,0.101766883771369,"no",-0.189313746245375,0.107001063275372,-0.197213548732243,0.072450740883656,6,2,0.421928814922746,"no","","no",0.0264227642276423,492
"PLEKHG4",8,2,0.106261387433897,"no",-0.0503699885552354,0.111879620475163,-0.0645115499371108,0.0169591814529252,7,2,0.585312047974717,"no","","yes",0.016260162601626,492
"REV3L",8,2,0.116833595570723,"no",0.0087019093247656,0.0563980927418536,-0.0387550909884267,0.0516797354474938,8,1,NA,NA,"","yes",0.0365853658536585,492
"FRMPD2",8,2,0.12728928650515,"no",NA,NA,NA,NA,7,2,0.323852670528597,"no","","yes",0.0365853658536585,492
"ASAP2",8,2,0.140491385999368,"no",0.0977237879447944,0.078994247799356,0.026960875660433,0.0835364057161249,7,2,0.53724473404466,"no","","yes",0.0223577235772358,492
"HERC1",8,2,0.152904736202475,"no",-0.00778470687926155,0.114507254367373,-0.0230879623117496,0.0450163637766396,7,2,0.82707718793912,"no","","yes",0.0569105691056911,492
"OR2T3",7,3,0.159567719095182,"no",NA,NA,NA,NA,6,3,0.558126850720132,"no","","no",0.0467479674796748,492
"BFSP1",7,2,0.171480618877632,"no",0.0305826046816634,0.152033591793765,-0.143053809887397,0.083406971857571,7,1,NA,NA,"","yes",0.0121951219512195,492
"RECQL5",8,2,0.177117504642869,"no",0.0349407667223282,0.117679918734628,0.095560548309093,0.00648111067666499,7,2,0.17418845289236,"no","","yes",0.00609756097560976,492
"TG",6,4,0.177680479745306,"no",-0.0737209487745565,0.159028332670646,-0.0300266078731489,0.119560039020964,5,4,0.460262863423495,"no","","yes",0.0752032520325203,492
"ALPK2",7,2,0.182989078454745,"no",0.0683772405113217,0.142283905695658,-0.0648083553007243,0.149008258765081,6,2,0.638859865021084,"no","","yes",0.0609756097560976,492
"DOCK2",8,2,0.188105446544724,"no",0.129139370405736,0.135408983280785,0.113560369154563,0.163421086179157,7,2,0.326168931695245,"no","","yes",0.0711382113821138,492
"LAMA5",8,2,0.195497121036937,"no",-0.0217796460964642,0.090234741186611,-0.0652674858107556,0.0518484198725393,7,2,0.467338708023066,"no","","yes",0.0365853658536585,492
"KIF2B",7,3,0.196340890612726,"no",-0.00325352919188729,0.0797740731919735,0.157802350563171,0.230795526592671,6,3,0.702010245255083,"no","","no",0.0731707317073171,492
"ATM",8,2,0.198305734008,"no",-0.0373699984406547,0.158963040335465,-0.137391475563601,0.0885923259316597,7,2,0.19685053625683,"no","BLCA_LoF,BRCA_LoF,CH_LoF,CLL_LoF,COREAD_LoF,ESCA_LoF,HC_LoF,HGG_LoF,LUAD_LoF,MM_LoF,NB_LoF,NSCLC_LoF,PAAD_LoF,PAIS_LoF,PRAD_LoF,RCCC_LoF,SCLC_LoF,ST_LoF,THCA_LoF,UCEC_LoF","yes",0.040650406504065,492
"ANKRD24",8,2,0.198640389362526,"no",-0.0720748231787126,0.106312438959507,-0.260325580530137,0.0303246841316275,7,2,0.769563779550717,"no","","yes",0.0121951219512195,492
"BIRC6",6,3,0.21429820070024,"no",-0.0680549735314981,0.1581685314548,-0.191962470557952,0.149010878144015,5,3,0.528344906143624,"no","BLCA_ambiguous,CH_ambiguous,COREAD_ambiguous,DLBCL_ambiguous,ESCA_ambiguous,HC_ambiguous,HNSC_ambiguous,MGCT_ambiguous,NHLY_ambiguous,PAAD_ambiguous,PCPG_ambiguous,UCEC_ambiguous","yes",0.0914634146341463,492
"KCNH7",8,2,0.215070692245387,"no",-0.00667436106696089,0.142919305963212,0.10232128039813,0.123614750541656,7,2,0.231378039099674,"no","","yes",0.0792682926829268,492
"ANKRD30B",7,2,0.237709111219276,"no",-0.187124732323438,0.469777187972364,-0.226279952776435,0.0876125175534565,6,2,0.78892495590476,"no","","no",0.0386178861788618,492
"ESPNL",8,2,0.250067450039929,"no",0.155288607331679,0.131533983873309,0.045666678861544,0.166120323051537,7,2,0.564739658079045,"no","","yes",0.0142276422764228,492
"PKD1",7,2,0.256086063097268,"no",0.0689676794286418,0.227224564885071,0.148052439122643,0.193284726407561,7,2,0.575261515843597,"no","","yes",0.0345528455284553,492
"FAT3",6,3,0.259392427607743,"no",0.0997837081623283,0.0609519393279552,-0.00905891309237954,0.1147042277679,0,0,NA,NA,"BCNET_ambiguous,BRCA_ambiguous,CLL_ambiguous,CM_ambiguous,COREAD_ambiguous,DLBCL_ambiguous,ESCA_ambiguous,HNSC_ambiguous,LUSC_ambiguous,PAAD_ambiguous,PRAD_ambiguous,SBCC_ambiguous,ST_ambiguous,THCA_ambiguous","yes",0.136178861788618,492
"RUNX1T1",8,2,0.264974960515675,"no",0.0249642279672679,0.163518817110384,0.141406234804896,0.0116523222294785,7,2,0.630455685877637,"no","HC_ambiguous,LGG_ambiguous,PRAD_ambiguous,SBCC_ambiguous,SCLC_ambiguous","yes",0.0650406504065041,492
"NCAM1",8,2,0.275012234444329,"no",0.0529309466125995,0.0632129889304125,0.161431481079164,0.038012662621482,0,0,NA,NA,"","yes",0.0203252032520325,492
"PDZRN4",7,2,0.280526286693826,"no",0.0144056220517344,0.0909886174645909,-0.0209560763371833,0.0943905066271116,6,2,0.227063595457876,"no","","yes",0.0487804878048781,492
"DNAH5",5,4,0.281062710546971,"no",-0.00968370796764325,0.121746840906899,-0.24262560561465,0.175231153814081,5,3,0.732363512182637,"no","","yes",0.158536585365854,492
"FMN2",8,2,0.290596704118829,"no",-0.0220157447074453,0.0897873450309537,0.125515069024378,0.0626417097445777,7,2,0.437370523754002,"no","","yes",0.115853658536585,492
"RASAL3",8,2,0.291856323236103,"no",-0.0301158817965019,0.219689830934837,-0.0123529996742375,0.016681509261269,7,2,0.397847538338285,"no","","yes",0.0223577235772358,492
"SLX4",8,2,0.297298977731708,"no",-0.0844922868019171,0.0949147288716066,-0.252882405504458,0.055954003354336,7,2,0.753774986632116,"no","","yes",0.032520325203252,492
"NPAS3",8,2,0.300697549429184,"no",-0.0141405986620263,0.0975905587134524,0.0016013413708645,0.186202914385705,7,2,0.714306199447068,"no","","yes",0.0264227642276423,492
"WDFY4",6,3,0.306688167412065,"no",0.00404024286432553,0.104362089358315,0.0463585054107043,0.0836349585532186,5,3,0.424328845218046,"no","","yes",0.00203252032520325,492
"PTGFR",8,2,0.311366517547241,"no",0.00595831544250185,0.0820348342317615,-0.17781731648084,0.0477102958855765,7,2,0.542815121319838,"no","","yes",0.0182926829268293,492
"PMP2",8,2,0.319565939243092,"no",-0.201797032311042,0.0687380181644805,-0.0729708229792383,0.0797129103359617,7,2,0.628026516236843,"no","","yes",0.0040650406504065,492
"KMT2A",6,3,0.324494670652285,"no",0.029041962976686,0.0924899547489915,0.0176798033868484,0.123639545537447,6,2,0.457318345359995,"no","ACC_LoF,BCNET_LoF,BLCA_LoF,CM_LoF,ESCA_LoF,HC_LoF,OV_LoF,PRAD_LoF,SBCC_LoF,THCA_LoF","yes",0.0467479674796748,492
"EP300",7,2,0.334545523002371,"no",0.196153256371481,0.185911851087195,0.137087620541204,0.0598620947144522,6,2,0.130503651910476,"no","BLCA_LoF,CESC_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,HC_LoF,HNSC_LoF,LUSC_LoF,MBL_LoF,NHLY_LoF,NSPH_LoF,SCLC_LoF","yes",0.0386178861788618,492
