"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"TP53",3,6,0.00182676273560115,"yes",0.707258039871892,0.032698737527437,-0.114598284702148,0.128462272027436,2,6,0.23951538259363,"no","ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF","yes",0.33495145631068,412
"WDR36",8,2,0.0124860626939725,"yes",-0.577633362486519,0.153216907764202,-0.944044035005221,0.0393808054232351,8,1,NA,NA,"","yes",0.0315533980582524,412
"NRAS",9,2,0.0218444291520183,"no",-0.0386207007152524,0.0367458765349253,-0.727070501710408,0.440003366742972,8,2,0.0517450356170276,"no","ALL_Act,AML_Act,ANGS_Act,CH_Act,CLL_Act,CM_Act,COREAD_Act,GBM_Act,HC_Act,LGG_Act,LUAD_Act,LUSC_Act,MGCT_Act,MM_Act,NSPH_Act,OV_Act,PAAD_Act,PRAD_Act,THCA_Act,THYM_Act,UCEC_Act","yes",0.0169902912621359,412
"TRIM66",9,2,0.0263783076433747,"no",-0.0824751773963896,0.231668846394264,-0.375046438564477,0.0274471055374845,0,0,NA,NA,"","yes",NA,412
"LY9",8,2,0.0275547295006,"no",0.0278468486978676,0.150309929761574,-0.0411631638977248,0.00981269553210974,7,2,0.741915517427912,"no","","yes",0.0169902912621359,412
"PIK3CA",6,5,0.0322549182637266,"no",-0.103837135672951,0.105088664223343,-0.437971849084894,0.177024114806992,5,5,0.24886469450902,"no","ACY_Act,AN_Act,ANGS_Act,BLCA_Act,BRCA_Act,CESC_Act,CH_Act,CM_Act,COREAD_Act,EPD_Act,ESCA_Act,GBM_Act,HC_Act,HGG_Act,HNSC_Act,LEIS_Act,LGG_Act,LUAD_Act,LUSC_Act,MBL_Act,MESO_Act,MGCT_Act,NSCLC_Act,OS_Act,OV_Act,PAAD_Act,PIA_Act,PRAD_Act,RCCC_Act,RPC_Act,S_Act,SBCC_Act,ST_Act,UCEC_Act,UCS_Act,VV_Act","yes",0.213592233009709,412
"KMT2C",7,3,0.0493619797560598,"no",0.0396851706732027,0.146184684593012,-0.0524668411866754,0.0517086402759554,6,3,0.151323675964562,"no","ACY_LoF,AML_LoF,AN_LoF,BLCA_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,EWS_LoF,HC_LoF,HNSC_LoF,LUAD_LoF,LUSC_LoF,MBL_LoF,NSPH_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PCPG_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RPC_LoF,SCLC_LoF,SG_LoF,SSCC_LoF,ST_LoF,THCA_LoF,UCEC_LoF,VV_LoF","yes",0.101941747572816,412
"DACH1",9,2,0.0612711663089876,"no",-0.064609293224552,0.0739884193135711,-0.022181910228949,0.0446342853244953,9,1,NA,NA,"","yes",0.0194174757281553,412
"ASXL3",8,2,0.0750216414684034,"no",-0.0567918751603742,0.138401453338513,-0.119075790734582,0.011246399195182,7,2,0.676055539637465,"no","","yes",0.0436893203883495,412
"COL15A1",9,2,0.0794809806959405,"no",0.0312759523965859,0.148593554292084,-0.052535323777145,0.169115548070774,8,2,0.541287494185399,"no","","yes",0.0242718446601942,412
