"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"TP53",5,11,0.000722422480462163,"yes",0.0266874757959678,0.925621520483976,-0.195147075784166,0.113409480424662,4,9,0.34008675481193,"no","ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF","yes",0.206896551724138,986
"KRAS",16,2,0.00111775999268237,"yes",-0.010139612260517,0.117949872727229,-0.877318838175547,0.604595032522024,14,2,0.232455460918978,"no","ALL_Act,AML_Act,AN_Act,BC_Act,BCNET_Act,BLCA_Act,BRCA_Act,CESC_Act,CH_Act,CLL_Act,CM_Act,COREAD_Act,DLBCL_Act,ESCA_Act,HC_Act,LUAD_Act,MGCT_Act,MM_Act,NSCLC_Act,OV_Act,PAAD_Act,PAIS_Act,PIA_Act,PRAD_Act,RPC_Act,ST_Act,THCA_Act,UCEC_Act,UCS_Act","yes",0.00608519269776876,986
"PKD1",19,2,0.00629266876913244,"no",0.113349875468238,0.189104601796698,-0.178964406355351,0.122524417922337,15,2,0.618091966610737,"no","","yes",0.00912778904665314,986
"USP5",18,2,0.0105706173566829,"no",-0.487047138979759,0.515265514196482,-1.08937491615373,0.00425411456122005,15,2,0.491294539183469,"no","","yes",0.00304259634888438,986
"UBE3A",18,3,0.0118500218252457,"no",0.100788577394244,0.127685990621397,-0.003044112774822,0.0886290846440717,14,3,0.22185095075452,"no","","yes",0.00304259634888438,986
"RNF19A",16,2,0.0134198761890305,"no",-0.0845518621088894,0.0886321642012141,-0.0427196162139586,0.0744594913314214,11,2,0.604684471140678,"no","","yes",0.0050709939148073,986
"PIK3CA",9,9,0.0143847457666774,"no",-0.0747796389207063,0.0899413765619497,-0.383819939661513,1.06905580883547,9,7,0.0365857850267839,"no","ACY_Act,AN_Act,ANGS_Act,BLCA_Act,BRCA_Act,CESC_Act,CH_Act,CM_Act,COREAD_Act,EPD_Act,ESCA_Act,GBM_Act,HC_Act,HGG_Act,HNSC_Act,LEIS_Act,LGG_Act,LUAD_Act,LUSC_Act,MBL_Act,MESO_Act,MGCT_Act,NSCLC_Act,OS_Act,OV_Act,PAAD_Act,PIA_Act,PRAD_Act,RCCC_Act,RPC_Act,S_Act,SBCC_Act,ST_Act,UCEC_Act,UCS_Act,VV_Act","yes",0.315415821501014,986
"GEM",14,2,0.0170226201226241,"no",0.077909328922726,0.343754033576831,-0.238265251389683,0.019059141822459,10,2,0.440815656746317,"no","","yes",0.00101419878296146,986
"APC",19,2,0.0195871718974685,"no",0.0527562419088569,0.131455344327678,0.0257786386218639,0.0638083679193448,16,2,0.563690211873864,"no","AN_LoF,BC_LoF,CH_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,HC_LoF,NSCLC_LoF,PRAD_LoF,SBCC_LoF,SSCC_LoF,ST_LoF,UVM_LoF,VV_LoF","yes",0.0121703853955375,986
"FCGRT",20,2,0.0205541115489627,"no",-0.00989420781908592,0.142452270546852,-0.0515726059095312,0.0820199464364078,15,2,0.466986936681024,"no","","yes",0.00101419878296146,986
