"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"FGFR2_550",4,2,0.00326741897275053,"yes",-0.0130822169951268,0.0309437137332475,-0.38996670485946,0.0323610442089876,5,0,NA,NA,"BRCA_Act,CH_Act,LUSC_Act,SG_Act,UCEC_Act","yes",0,530
"TP53_220",4,2,0.0401409010313301,"yes",0.462496345601057,0.56604460435391,-0.417195446549892,0.0603279882736015,3,1,NA,NA,"ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF","yes",0.0113207547169811,530
"KHK_141",6,2,0.158132335282378,"no",0.0631398553489226,0.187193952641602,0.0246595359337771,0.00931302808668605,6,1,NA,NA,"","yes",0,530
"GTF2I_440",7,2,0.166087411577639,"no",0.0175283981934665,0.300857534291264,-0.079244170983769,0.206192694413434,4,1,NA,NA,"AN_Act,THYM_Act","yes",0,530
"FGFR2_252",4,2,0.217504211284615,"no",-0.0130822169951268,0.0309437137332475,0.0213387949435482,0.0490791302847215,5,1,NA,NA,"BRCA_Act,CH_Act,LUSC_Act,SG_Act,UCEC_Act","yes",0.0415094339622641,530
"SRCAP_1765",5,2,0.315368801075158,"no",-0.058687996116855,0.285462912244612,-0.20891242350025,0.0642532581720395,2,2,0.489400786127999,"no","","yes",0,530
"SMAD6_342",9,2,0.358377851985613,"no",0.0490468402718303,0.128952128665322,-0.0255733763847738,0.0418485854819114,6,1,NA,NA,"","yes",0,530
"TP53_273",4,2,0.37597547684539,"no",0.462496345601057,0.56604460435391,-0.0691047675274545,0.40841866729604,3,2,0.329412514737741,"no","ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF","yes",0.0415094339622641,530
"KRAS_12",7,3,0.380445304050273,"no",-0.0477906834289793,0.0953444410046828,-0.0193811218856197,0.240680510506847,3,2,0.455305674493444,"no","ALL_Act,AML_Act,AN_Act,BC_Act,BCNET_Act,BLCA_Act,BRCA_Act,CESC_Act,CH_Act,CLL_Act,CM_Act,COREAD_Act,DLBCL_Act,ESCA_Act,HC_Act,LUAD_Act,MGCT_Act,MM_Act,NSCLC_Act,OV_Act,PAAD_Act,PAIS_Act,PIA_Act,PRAD_Act,RPC_Act,ST_Act,THCA_Act,UCEC_Act,UCS_Act","yes",0.126415094339623,530
"ADAMTS20_28",9,2,0.506151369645217,"no",-0.00688594261449594,0.128070620940624,-0.188569518815424,0.210362371487621,5,2,0.681274582185029,"no","","yes",0,530
