"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"DPYD",6,1.76874422663391e-07,"yes",-0.163185429562501,0.198426682758472,7,0.251044465341386,"no","","EGFR (enriched, 12% vs 0%), IDH1 (depleted, 65% vs 90%), RYR2 (enriched, 6% vs 1%)","",508
"SIM1",7,5.03086740303314e-06,"yes",-0.406096575176184,0.415865664880795,7,0.857910679956782,"no","","","",508
"OVOL1",8,3.35187186659321e-05,"yes",-0.198347036545857,0.26420022983483,8,0.985062881415731,"no","","","",508
"CSRNP3",8,3.73412159903919e-05,"yes",-0.191510156502943,0.142104557784112,8,0.999282804117887,"no","","CIC (enriched, 15% vs 5%)","FUBP1 (enriched, 13% vs 4%)",508
"NFIA",8,5.04106470720611e-05,"yes",-0.0205727259841088,0.392884592772379,8,0.494200622689199,"no","","CIC (depleted, 0% vs 21%), IDH2 (depleted, 0% vs 7%), PIK3CA (depleted, 4% vs 11%), TP53 (enriched, 61% vs 18%)","ATRX (enriched, 50% vs 10%), CIC (depleted, 0% vs 22%), FUBP1 (depleted, 0% vs 18%), NIPBL (depleted, 1% vs 5%), NOTCH1 (depleted, 1% vs 7%), TP53 (enriched, 20% vs 2%)",508
"GRIA2",7,5.83455332037297e-05,"yes",0.00946740308895916,0.164999967214159,8,0.999996030831382,"no","","CIC (enriched, 16% vs 5%), EGFR (depleted, 1% vs 11%), IDH1 (enriched, 90% vs 65%)","CIC (enriched, 16% vs 6%), FUBP1 (enriched, 13% vs 4%), NOTCH1 (enriched, 8% vs 1%)",508
"USP1",8,7.8051553943e-05,"yes",-0.0628228952901965,0.129134916684653,8,0.0197678374407583,"no","","CIC (depleted, 1% vs 20%), EGFR (enriched, 10% vs 2%), IDH1 (depleted, 70% vs 85%), IDH2 (depleted, 1% vs 6%), MUC16 (enriched, 10% vs 4%), TP53 (enriched, 56% vs 23%)","ATRX (enriched, 43% vs 16%), CIC (depleted, 2% vs 20%), FUBP1 (depleted, 2% vs 16%), TP53 (enriched, 16% vs 6%)",508
"TMEM71",8,8.74121986210505e-05,"yes",-0.242034906764838,0.23907013576224,8,0.999966275029929,"no","","CIC (depleted, 3% vs 18%), EGFR (enriched, 13% vs 0%), IDH1 (depleted, 62% vs 93%)","CIC (depleted, 5% vs 16%), FUBP1 (depleted, 4% vs 13%)",508
"PRMT10",8,9.0970828728503e-05,"yes",NA,NA,0,NA,NA,"",NA,NA,NA
"GPR84",8,0.000106331672812908,"yes",-0.227924689869193,0.167060956459854,8,0.570399060284785,"no","","ATRX (enriched, 9% vs 2%), CIC (depleted, 3% vs 18%), IDH1 (depleted, 72% vs 83%), IDH2 (depleted, 1% vs 7%), TP53 (enriched, 53% vs 26%)","ATRX (enriched, 42% vs 18%), CIC (depleted, 2% vs 20%), FUBP1 (depleted, 3% vs 14%), NF1 (enriched, 8% vs 2%), TP53 (enriched, 15% vs 7%)",508
"PAQR8",8,0.000123642802771958,"yes",-0.208018340607785,0.335675528735946,8,0.362626001952914,"no","","","",508
"CD22",7,0.000143882524623739,"yes",-0.175248822188728,0.156589006575391,8,0.606218674272701,"no","","","",508
"ZNF609",7,0.000144210568898947,"yes",-0.284830212293744,0.273337442027046,7,0.499205094581879,"no","","EGFR (depleted, 0% vs 12%), IDH1 (enriched, 91% vs 65%), PIK3CA (depleted, 4% vs 11%), SMARCA4 (enriched, 5% vs 1%), TP53 (enriched, 52% vs 27%), TTN (depleted, 8% vs 15%)","ATRX (enriched, 40% vs 20%)",508
"TCF21",8,0.000218129793122612,"no",-0.461364222343837,0.628642898601147,8,0.0808791140248077,"no","","IDH1 (depleted, 65% vs 81%)","",508
"GLYR1",8,0.000240818100214408,"no",-0.309966733182231,0.482933503444003,8,0.78851748894796,"no","","","NOTCH1 (enriched, 7% vs 1%)",508
"ARHGAP42",8,0.000241426037301518,"no",-0.483273136513668,0.475499328361169,0,NA,NA,"","","ATRX (enriched, 38% vs 22%), FUBP1 (depleted, 5% vs 12%)",508
"PER1",7,0.000256443819679813,"no",-0.0979696155801914,0.316795134416378,7,0.999999983899698,"no","","","",508
"GAS6",6,0.000293493025770117,"no",-0.158880738321757,0.21663225708713,6,0.0111751650584069,"no","","EGFR (enriched, 10% vs 2%), IDH1 (depleted, 67% vs 88%)","",508
"MPP7",7,0.000324300769186983,"no",-0.333990467697517,0.145389482043588,7,0.878943248739367,"no","","","ATRX (depleted, 22% vs 38%)",508
"CCNE2",8,0.000361030102050838,"no",-0.0835377228389196,0.237715375579299,8,0.852393644793424,"no","","","",508
"BCAR1",7,0.00037792148957714,"no",-0.415597353036774,0.374877593592525,7,1.11105178062622e-06,"yes","","EGFR (depleted, 1% vs 12%), IDH1 (enriched, 91% vs 64%)","",508
"CASC1",7,0.000437600146717719,"no",-0.103294021854173,0.451342366783524,8,0.999937500263548,"no","","CIC (depleted, 6% vs 15%), EGFR (enriched, 10% vs 2%), IDH1 (depleted, 69% vs 87%), PIK3CA (enriched, 11% vs 4%)","CIC (depleted, 5% vs 17%), FUBP1 (depleted, 3% vs 14%)",508
"DNMT3B",8,0.000446813320035529,"no",-0.467209562412496,0.353276432999782,8,0.747152864315365,"no","","","CIC (enriched, 15% vs 7%)",508
"CES5A",7,0.000466350435240166,"no",-0.175193549704501,0.389699659790729,7,0.868462209369392,"no","","","",508
"SOX14",8,0.000489804411409164,"no",-0.0552575898168493,0.0632576776160517,8,0.99338343328014,"no","","TP53 (enriched, 59% vs 36%)","",508
"GPR158",7,0.000516027606987417,"no",0.0597012426200029,0.15880937475679,7,0.999403864093999,"no","","CIC (enriched, 18% vs 3%), EGFR (depleted, 1% vs 11%), IDH1 (enriched, 87% vs 68%), IDH2 (enriched, 6% vs 1%), TP53 (depleted, 27% vs 52%)","ATRX (depleted, 23% vs 36%), CIC (enriched, 20% vs 2%), FUBP1 (enriched, 16% vs 1%), NOTCH1 (enriched, 7% vs 1%)",508
"CDC20B",8,0.000553714766171191,"no",0.0815331271666279,0.212569210287441,8,0.00994694332762929,"no","","IDH1 (depleted, 72% vs 84%)","",508
"CHRD",6,0.000553907905334391,"no",0.0434787506081994,0.261927985242705,6,0.858923988873588,"no","","","",508
"SLC2A3",7,0.000555080875524746,"no",-0.0563864960403911,0.0403293642116363,7,0.513422654361763,"no","","","",508
"POU4F1",7,0.000586578392316771,"no",-0.0926994352715741,0.276829412452318,7,0.984341262432795,"no","","CIC (depleted, 2% vs 19%), IDH1 (enriched, 84% vs 71%), IDH2 (depleted, 1% vs 7%), TP53 (enriched, 65% vs 14%)","ATRX (enriched, 53% vs 7%), CIC (depleted, 1% vs 21%), FUBP1 (depleted, 1% vs 16%), NOTCH1 (depleted, 2% vs 7%), TP53 (enriched, 20% vs 2%)",508
"ARNTL",8,0.000601899060898539,"no",-0.0862061874397567,0.169334564804007,8,0.0209556327077784,"no","","EGFR (enriched, 10% vs 2%), IDH1 (depleted, 67% vs 88%), TP53 (depleted, 31% vs 48%)","ATRX (depleted, 23% vs 37%)",508
"GSTP1",8,0.000639264270631818,"no",-0.15146568873528,0.0781405918430121,8,0.230488325251225,"no","","","",508
"CDK19",6,0.000672401262310851,"no",0.0560238431708979,0.268754212381776,7,0.343978423095458,"no","","","",508
"FOXK1",6,0.000725903902346886,"no",-0.115686547988809,0.0920220200877646,6,0.176671029507459,"no","","","",508
"SOCS1",7,0.000748183822446121,"no",-0.184338416885195,0.117563516406036,8,0.810968977766924,"no","DLBCL_LoF,LY_LoF,NHLY_LoF","EGFR (enriched, 11% vs 1%), IDH1 (depleted, 64% vs 92%), TP53 (depleted, 32% vs 47%)","ATRX (depleted, 22% vs 37%), NF1 (enriched, 8% vs 2%)",508
"LGALS9",7,0.000772075153428806,"no",0.0562232058280157,0.141616198888775,8,0.648711739234105,"no","","CIC (depleted, 4% vs 17%), EGFR (enriched, 10% vs 3%), IDH1 (depleted, 72% vs 84%), IDH2 (depleted, 0% vs 7%), TP53 (enriched, 48% vs 31%), TTN (enriched, 16% vs 6%)","ATRX (enriched, 41% vs 19%), CIC (depleted, 4% vs 18%), FUBP1 (depleted, 5% vs 12%), NF1 (enriched, 8% vs 2%), TP53 (enriched, 16% vs 6%)",508
"HTR3C",5,0.000777595589223501,"no",-0.314273000863111,0.331136787292478,6,0.965856726983223,"no","","","",508
"ACVR2A",8,0.000779252162352552,"no",-0.0572769561967774,0.0951998420520406,8,0.560996166652249,"no","COREAD_LoF,HC_LoF,PAAD_LoF,SSCC_LoF,ST_LoF,UCEC_LoF","CIC (enriched, 16% vs 5%), EGFR (depleted, 3% vs 10%), IDH1 (enriched, 85% vs 71%)","CIC (enriched, 16% vs 5%), FUBP1 (enriched, 12% vs 5%)",508
"MEIS2",7,0.000780562877093295,"no",0.0460428956779447,0.391848729441307,7,0.991991985095168,"no","","EGFR (depleted, 3% vs 10%), TP53 (enriched, 48% vs 31%)","ATRX (enriched, 36% vs 23%)",508
"GEM",7,0.000811946385944676,"no",-0.212531305585516,0.331428967035456,8,0.99999516425336,"no","","CIC (depleted, 3% vs 18%), EGFR (enriched, 11% vs 2%), IDH1 (depleted, 72% vs 83%), TP53 (enriched, 51% vs 28%), TTN (enriched, 15% vs 7%)","ARID1A (depleted, 2% vs 6%), ATRX (enriched, 36% vs 24%), CIC (depleted, 2% vs 20%), FUBP1 (depleted, 3% vs 15%)",508
"KBTBD6",8,0.000878886429238241,"no",0.100086832225802,0.174998413695622,8,0.11852073958993,"no","","CIC (enriched, 17% vs 4%), EGFR (depleted, 1% vs 11%), IDH1 (enriched, 85% vs 71%), TP53 (depleted, 33% vs 45%), TTN (depleted, 7% vs 16%)","CIC (enriched, 16% vs 6%), FUBP1 (enriched, 13% vs 4%), NOTCH1 (enriched, 7% vs 2%)",508
"ECI2",8,0.000880878169381193,"no",-0.0574834298984406,0.166955300930443,8,0.614435615948915,"no","","CIC (depleted, 5% vs 16%), TP53 (enriched, 47% vs 32%)","",508
"PLCG1",8,0.000884034954016803,"no",-0.175277414837849,0.236907497524582,8,0.965023331016147,"no","ANGS_Act,BC_Act,LGG_Act","EGFR (enriched, 10% vs 3%), IDH1 (depleted, 71% vs 84%)","ARID1A (depleted, 0% vs 8%), NIPBL (depleted, 0% vs 5%)",508
"STK31",6,0.000909569036379283,"no",-0.33255117952823,0.436634247565374,6,0.998015181617327,"no","","EGFR (enriched, 10% vs 3%), IDH1 (depleted, 70% vs 85%)","",508
