"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"RREB1",11,2,0.0027157668070598,"yes",-0.0461012402959465,0.147698928625525,-0.270684393295489,0.0334300554702385,9,2,0.208710020271502,"no","","yes",0.00274725274725275,364
"ARHGEF17",10,2,0.00777278401536633,"no",-0.0025733979818775,0.152345310562605,-0.0128637515227303,0.00837406399582599,9,1,NA,NA,"","yes",0.0192307692307692,364
"TTC7B",11,2,0.0153870213808275,"no",0.00410254345861135,0.105922305306583,-0.127138394756999,0.00131089832334047,10,1,NA,NA,"","yes",0,364
"SPEG",11,2,0.0231075382744709,"no",0.0600337224563228,0.119777606879249,-0.00867553486281475,0.0381499094119157,9,2,0.325736786025105,"no","","yes",0.032967032967033,364
"ARID2",11,2,0.0258292351584097,"no",-0.0455570060551472,0.165788437471149,-0.20617814905438,0.121075777332625,9,2,0.194121003741056,"no","BLCA_LoF,CH_LoF,CM_LoF,ESCA_LoF,HC_LoF,HNSC_LoF,LGG_LoF,LUAD_LoF,MBL_LoF,NSCLC_LoF,PAAD_LoF,PIA_LoF,SSCC_LoF,ST_LoF,THCA_LoF","yes",0.021978021978022,364
"NOTCH1",10,3,0.0276954358413595,"no",-0.0580754417786817,0.104464937631419,-0.146145320414032,0.0534425683559043,8,3,0.759345441581051,"no","ALL_ambiguous,CESC_ambiguous,CLL_ambiguous,DLBCL_ambiguous,ESCA_ambiguous,HNSC_ambiguous,LGG_ambiguous,LUSC_ambiguous,MBL_ambiguous,MGCT_ambiguous,NSCLC_ambiguous,OV_ambiguous,SBCC_ambiguous,SCLC_ambiguous,SG_ambiguous,SSCC_ambiguous,UCEC_ambiguous,VV_ambiguous","yes",0.0192307692307692,364
"ATRIP",11,2,0.028447190538119,"no",-0.144096736176281,0.0887580970921234,-0.207814217686746,0.068335819526972,10,1,NA,NA,"","yes",0.00274725274725275,364
"HECTD1",9,2,0.0345131705737848,"no",-0.0707940937609581,0.162166510099212,-0.369141270158983,0.047541351061842,7,2,0.448916251891735,"no","","yes",0.0164835164835165,364
"DOCK10",10,2,0.0404254641166399,"no",-0.0337891397545204,0.152768465614468,-0.132223178559939,0.176592754843575,8,2,0.933062405336761,"no","","yes",0.0247252747252747,364
"GXYLT1",11,2,0.0413908081402665,"no",0.0555714214375286,0.122765405192049,0.0443948586786594,0.108475778054562,9,2,0.736203659516661,"no","","yes",0,364
"FIGN",9,3,0.0694630441736919,"no",-0.0273542960502804,0.0895799167879079,-0.129684671137508,0.163828665113448,7,3,0.0209567876821266,"no","","yes",0.00824175824175824,364
"TAF4B",11,2,0.0700390315704039,"no",-0.108423955564281,0.22313653694261,-0.175619079413655,0.041275580345137,10,1,NA,NA,"","yes",0.00549450549450549,364
"KDM3A",10,3,0.0797946627621777,"no",NA,NA,NA,NA,9,2,0.746465584640983,"no","","yes",0.00549450549450549,364
"TTN",3,9,0.0846824672222542,"no",0.174545688762655,0.15220672382435,0.0003879377346677,0.200270649633492,1,9,NA,NA,"","yes",0.225274725274725,364
"KIAA1377",9,3,0.0959508731950059,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,NA,364
