"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"TP53",2,6,0.000386698292919915,"yes",0.348559900438539,0.161699320497136,-0.17434091869552,0.107272818600396,2,4,0.0746050986515217,"no","ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF","yes",0.546082949308756,434
"SVIL",12,3,0.00313696200541922,"yes",0.0304220289751592,0.197802722758671,-0.141333846753736,0.0486521570828592,9,0,NA,NA,"","yes",0.032258064516129,434
"APC",12,2,0.00366556820337307,"yes",0.0167318737360608,0.242184986379526,-0.188685261649675,0.159051810263559,7,2,0.351684602676417,"no","AN_LoF,BC_LoF,CH_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,HC_LoF,NSCLC_LoF,PRAD_LoF,SBCC_LoF,SSCC_LoF,ST_LoF,UVM_LoF,VV_LoF","yes",0.0345622119815668,434
"SLC38A6",11,2,0.00554717990751018,"no",-0.0321686812058839,0.0920973247444035,-0.112121835645397,0.0658483126712694,7,1,NA,NA,"","yes",0.00230414746543779,434
"ATM",11,2,0.0154559232401574,"no",0.0378867447921581,0.143899791454525,0.0138756728861222,0.22137987788878,6,1,NA,NA,"BLCA_LoF,BRCA_LoF,CH_LoF,CLL_LoF,COREAD_LoF,ESCA_LoF,HC_LoF,HGG_LoF,LUAD_LoF,MM_LoF,NB_LoF,NSCLC_LoF,PAAD_LoF,PAIS_LoF,PRAD_LoF,RCCC_LoF,SCLC_LoF,ST_LoF,THCA_LoF,UCEC_LoF","yes",0.0276497695852535,434
"FOXK1",9,2,0.0173689057470435,"no",0.0853810688662066,0.0583389579061875,0.0527850995462262,0.112980265691374,8,1,NA,NA,"","yes",0.00230414746543779,434
"PEX14",10,2,0.0254445660985264,"no",-0.190694978826005,0.173544448581281,-0.202411447531388,0.136699076912385,7,1,NA,NA,"","yes",0.00230414746543779,434
"KRAS",9,2,0.0272722977058014,"no",-0.0605266550156529,0.115610574992751,-0.34190621708783,0.33352670813764,7,2,0.21938028889166,"no","ALL_Act,AML_Act,AN_Act,BC_Act,BCNET_Act,BLCA_Act,BRCA_Act,CESC_Act,CH_Act,CLL_Act,CM_Act,COREAD_Act,DLBCL_Act,ESCA_Act,HC_Act,LUAD_Act,MGCT_Act,MM_Act,NSCLC_Act,OV_Act,PAAD_Act,PAIS_Act,PIA_Act,PRAD_Act,RPC_Act,ST_Act,THCA_Act,UCEC_Act,UCS_Act","yes",0.0138248847926267,434
"ASPH",8,3,0.0573910177832076,"no",-0.00560158112784841,0.085979647361881,-0.184114952267109,0.160256228792601,7,1,NA,NA,"","yes",0.00460829493087558,434
"NOTCH4",10,2,0.0574194282726329,"no",0.0637970055930633,0.219261997777651,-0.0825074555112554,0.100494704542154,8,1,NA,NA,"","yes",0.0276497695852535,434
