"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"HNF4G",9,2,0.000523391966430349,"yes",0.0371121824791464,0.16908549449569,-0.114173527318599,0.0151636167448673,6,1,NA,NA,"","no",NA,143
"KANK1",5,2,0.0196638364433112,"no",0.153407198048657,0.258892812752456,-0.139399309521545,0.0681295385258022,2,1,NA,NA,"","yes",0,143
"BMP2",9,2,0.0216053274785808,"no",-0.142995319213985,0.198620481422915,-0.349315572485088,0.0126543739608495,5,2,0.827843591210858,"no","","no",NA,143
"CD244",7,4,0.025609930638046,"no",0.108385013728686,0.151770051535966,-0.345292290528856,0.278233465867025,4,3,0.623994432896904,"no","","yes",NA,143
"FLT3",8,2,0.0274046017067847,"no",-0.0717089340973936,0.144575514164093,-1.9722433576357,0.18036096422116,6,1,NA,NA,"ALL_Act,AML_Act","yes",0.104895104895105,143
"UBE4A",9,2,0.0277315458941026,"no",0.0670923360021185,0.105157164463816,-0.244063979756563,0.127056034905913,5,2,0.713997165837363,"no","","yes",NA,143
"SMEK2",9,2,0.0322099279734216,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0,143
"POTEE",9,2,0.0495378133674075,"no",0.00716876325467995,0.328209815808653,0.090826883251236,0.294268700567245,5,2,0.512835126384198,"no","","no",NA,143
"PCM1",8,2,0.0962957799333011,"no",-0.166943439806671,0.228685214566408,-0.322009474213563,0.120741678081019,4,2,0.558960746678891,"no","","yes",0,143
"PHF3",9,2,0.104475250806873,"no",-0.309963967460671,0.21215245737538,-0.443811669374562,0.14604991066384,5,2,0.154640501981613,"no","","yes",0.013986013986014,143
"CEL",7,3,0.104583401563526,"no",-0.173766488547277,0.0401993267308875,-0.118135120659599,0.13278895608183,5,2,0.453188749901041,"no","","yes",NA,143
"AMZ2",7,3,0.104586954868375,"no",-0.0115820360733594,0.0882956046392988,-0.366064542208564,0.23156821773795,4,2,0.563285053549781,"no","","yes",0.00699300699300699,143
"ANK3",8,2,0.108211180686846,"no",0.0012299247945299,0.216894701613833,0.171790641794991,0,5,1,NA,NA,"","yes",0.013986013986014,143
"FCGRT",9,2,0.112651380254081,"no",-0.0402766333331318,0.216729517092608,-0.201587194623943,0.127023200039518,5,2,0.335720054682991,"no","","yes",0.00699300699300699,143
"LGSN",9,2,0.114764210863532,"no",-0.306316002562236,0.264459926815182,-0.0035207438569487,0.023248639301895,6,1,NA,NA,"","no",0,143
"SYNJ2",8,2,0.133719010502689,"no",-0.0950835944375107,0.151688751046991,0.0378139097498741,0.00290542501462855,4,2,0.563939644327459,"no","","yes",0,143
"CASP9",9,2,0.155995336009876,"no",0.0459282693918027,0.205158833006706,-0.0931091981253424,0.0643080486341597,5,2,0.921132247481452,"no","","yes",NA,143
"DLD",8,3,0.169312172124686,"no",-0.127091497383544,0.222331668795958,-0.266692301193945,0.0698003920238185,5,2,0.235446805841258,"no","","yes",0.00699300699300699,143
"FOXK1",9,2,0.171061614211948,"no",-0.166516152198613,0.0541186745587345,-0.099519054865379,0.023122205616603,5,2,0.91295199176051,"no","","yes",NA,143
"TTC28",9,2,0.172735244302034,"no",0.0423424360716648,0.153284516929405,0.058801471072131,0.088955013555252,5,2,0.53122762686098,"no","","yes",NA,143
